1-dcu-symantec;2-dcu-symantec;3-dcu-symantec;4-dcu-symantec;5-dcu-symantec;6-dcu-symantec;7-dcu-symantec;8-dcu-symantec;9-dcu-symantec;10-dcu-symantec;11-dcu-symantec;12-dcu-symantec;13-dcu-symantec;14-dcu-symantec;15-dcu-symantec;16-dcu-symantec;17-dcu-symantec;18-dcu-symantec;19-dcu-symantec;20-dcu-symantec;21-dcu-symantec;22-dcu-symantec;23-dcu-symantec;24-dcu-symantec;25-dcu-symantec;26-dcu-symantec;27-dcu-symantec;28-dcu-symantec;29-dcu-symantec;30-dcu-symantec;31-dcu-symantec;32-dcu-symantec;33-dcu-symantec;34-dcu-symantec;35-dcu-symantec;36-dcu-symantec;37-dcu-symantec;38-dcu-symantec;39-dcu-symantec;40-dcu-symantec;41-dcu-symantec;42-dcu-symantec;43-dcu-symantec;44-dcu-symantec;45-dcu-symantec;46-dcu-symantec;47-dcu-symantec;48-dcu-symantec;49-dcu-symantec;50-dcu-symantec;51-dcu-symantec;52-dcu-symantec;53-dcu-symantec;54-dcu-symantec;55-dcu-symantec;56-dcu-symantec;57-dcu-symantec;58-dcu-symantec;59-dcu-symantec;60-dcu-symantec;61-dcu-symantec;62-dcu-symantec;63-dcu-symantec;64-dcu-symantec;65-dcu-symantec;66-dcu-symantec;67-dcu-symantec;68-dcu-symantec;69-dcu-symantec;70-dcu-symantec;71-dcu-symantec;72-dcu-symantec;73-dcu-symantec;74-dcu-symantec;75-dcu-symantec;76-dcu-symantec;77-dcu-symantec;78-dcu-symantec;79-dcu-symantec;80-dcu-symantec;81-dcu-symantec;82-dcu-symantec;83-dcu-symantec;84-dcu-symantec;85-dcu-symantec;86-dcu-symantec;87-dcu-symantec;88-dcu-symantec;89-dcu-symantec;90-dcu-symantec;91-dcu-symantec;92-dcu-symantec;93-dcu-symantec;94-dcu-symantec;95-dcu-symantec;96-dcu-symantec;97-dcu-symantec;98-dcu-symantec;99-dcu-symantec;100-dcu-symantec;101-dcu-symantec;102-dcu-symantec;103-dcu-symantec;104-dcu-symantec;105-dcu-symantec;106-dcu-symantec;107-dcu-symantec;108-dcu-symantec;109-dcu-symantec;110-dcu-symantec;111-dcu-symantec;112-dcu-symantec;113-dcu-symantec;114-dcu-symantec;115-dcu-symantec;116-dcu-symantec;117-dcu-symantec;118-dcu-symantec;119-dcu-symantec;120-dcu-symantec;121-dcu-symantec;122-dcu-symantec;123-dcu-symantec;124-dcu-symantec;125-dcu-symantec;126-dcu-symantec;127-dcu-symantec;128-dcu-symantec;129-dcu-symantec;130-dcu-symantec;131-dcu-symantec;132-dcu-symantec;133-dcu-symantec;134-dcu-symantec;135-dcu-symantec;136-dcu-symantec;137-dcu-symantec;138-dcu-symantec;139-dcu-symantec;140-dcu-symantec;141-dcu-symantec;142-dcu-symantec;143-dcu-symantec;144-dcu-symantec;145-dcu-symantec;146-dcu-symantec;147-dcu-symantec;148-dcu-symantec;149-dcu-symantec;150-dcu-symantec;151-dcu-symantec;152-dcu-symantec;153-dcu-symantec;154-dcu-symantec;155-dcu-symantec;156-dcu-symantec;157-dcu-symantec;158-dcu-symantec;159-dcu-symantec;160-dcu-symantec;161-dcu-symantec;162-dcu-symantec;163-dcu-symantec;164-dcu-symantec;165-dcu-symantec;166-dcu-symantec;167-dcu-symantec;168-dcu-symantec;169-dcu-symantec;170-dcu-symantec;171-dcu-symantec;172-dcu-symantec;173-dcu-symantec;174-dcu-symantec;175-dcu-symantec;176-dcu-symantec;177-dcu-symantec;178-dcu-symantec;179-dcu-symantec;180-dcu-symantec;181-dcu-symantec;182-dcu-symantec;183-dcu-symantec;184-dcu-symantec;185-dcu-symantec;186-dcu-symantec;187-dcu-symantec;188-dcu-symantec;189-dcu-symantec;190-dcu-symantec;191-dcu-symantec;192-dcu-symantec;193-dcu-symantec;194-dcu-symantec;195-dcu-symantec;196-dcu-symantec;197-dcu-symantec;198-dcu-symantec;199-dcu-symantec;200-dcu-symantec;201-dcu-symantec;202-dcu-symantec;203-dcu-symantec;204-dcu-symantec;205-dcu-symantec;206-dcu-symantec;207-dcu-symantec;208-dcu-symantec;209-dcu-symantec;210-dcu-symantec;211-dcu-symantec;212-dcu-symantec;213-dcu-symantec;214-dcu-symantec;215-dcu-symantec;216-dcu-symantec;217-dcu-symantec;218-dcu-symantec;219-dcu-symantec;220-dcu-symantec;221-dcu-symantec;222-dcu-symantec;223-dcu-symantec;224-dcu-symantec;225-dcu-symantec;226-dcu-symantec;227-dcu-symantec;228-dcu-symantec;229-dcu-symantec;230-dcu-symantec;231-dcu-symantec;232-dcu-symantec;233-dcu-symantec;234-dcu-symantec;235-dcu-symantec;236-dcu-symantec;237-dcu-symantec;238-dcu-symantec;239-dcu-symantec;240-dcu-symantec;241-dcu-symantec;242-dcu-symantec;243-dcu-symantec;244-dcu-symantec;245-dcu-symantec;246-dcu-symantec;247-dcu-symantec;248-dcu-symantec;249-dcu-symantec;250-dcu-symantec;251-dcu-symantec;252-dcu-symantec;253-dcu-symantec;254-dcu-symantec;255-dcu-symantec;256-dcu-symantec;257-dcu-symantec;258-dcu-symantec;259-dcu-symantec;260-dcu-symantec;261-dcu-symantec;262-dcu-symantec;263-dcu-symantec;264-dcu-symantec;265-dcu-symantec;266-dcu-symantec;267-dcu-symantec;268-dcu-symantec;269-dcu-symantec;270-dcu-symantec;271-dcu-symantec;272-dcu-symantec;273-dcu-symantec;274-dcu-symantec;275-dcu-symantec;276-dcu-symantec;277-dcu-symantec;278-dcu-symantec;279-dcu-symantec;280-dcu-symantec;281-dcu-symantec;282-dcu-symantec;283-dcu-symantec;284-dcu-symantec;285-dcu-symantec;286-dcu-symantec;287-dcu-symantec;288-dcu-symantec;289-dcu-symantec;290-dcu-symantec;291-dcu-symantec;292-dcu-symantec;293-dcu-symantec;294-dcu-symantec;295-dcu-symantec;296-dcu-symantec;297-dcu-symantec;298-dcu-symantec;299-dcu-symantec;300-dcu-symantec;301-dcu-symantec;302-dcu-symantec;303-dcu-symantec;304-dcu-symantec;305-dcu-symantec;306-dcu-symantec;307-dcu-symantec;308-dcu-symantec
0.7647058824;1;9;1.4444444444;1.8888888889;0.7647058824;-70.3304;-70.3304;-79.1506;-37.0194;-0.531;2.702;0;-0.126;-0.04;-0.169;-0.148;-0.001;-0.184;-5.494;-0.653;-0.787;-0.721;-1.54;0.694;5.16;4.637;-0.523;-156.9;-12.071;0.84;-0.656;19.47;-162.1;-12.467;0.856;-0.978;19.81;-161.6;-12.427;0.8508;-0.877;19.7;-2;0;2;22;24;22;-2;0;2;7;9;7;2.533;4.417;1.884;11.493;8.96;7.076;50;0.7273;0.8889;0.8;0.9039;0.9009;0.7143;0.9308;1;1;1;1;1;1;1;50;0.8889;0.7273;0.8;0.9039;0.9009;0.7143;0.9308;50;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;0;0;0;0;47906;10091;1605;227;62;10;4;0;5783;1879;467;99;4;0;0;0;1;6;62773;0.21;1874;13;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;-31.333;0;-18.0205;54;0.107143;0.160714;0.089286;0.089286;0.107143;0.089286;0.089286;0.089286;0.089286;0.089286;0.096774;0.145161;0.080645;0.096774;0.145161;0.080645;0.080645;0.080645;0.112903;0.080645;0.01498;0;0;1;1;9.4966761633;0.6761304463;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2352941176;0;0;0;0;0;0;0;0.0588235294;0;0;0.1176470588;0;0;0;0;0;0;0;0;0;0;0;0;0.0588235294;0;0;0;0.0588235294;0.1764705882;0.0588235294;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0588235294;0;0.1176470588;0.0588235294;0.2352941176;0.4705882353;7903;191;5;3;2;0;1;1;1;1;1;1;1;0;1;1;0;0;1;1;0;1;1;0;0;0;0;0;0;13;17;5.4615383;-33.1599;-32.8572;1.0625;76.46154;0.019463036;0;1;0;0.8333333;0.09090909;0.27272728;1;0;0
0.9032258065;0.8;21;1.4761904762;1.6666666667;0.8857142857;-139.517;-140.304;-139.794;-74.8992;-0.825;5.562;0;-0.303;-0.052;-0.314;-0.465;-0.002;-0.318;-12.041;-1.478;-1.49;-1.448;-2.47;1.619;6.383;8.917;2.534;-297.5;-9.597;0.7256;3.342;41.3;-303.9;-9.803;0.7361;2.95;41.73;-306.4;-9.884;0.7366;2.915;41.75;0;0;0;57;57;57;0;0;0;14;14;14;-0.97;-0.901;0.069;4.101;5.071;5.002;50;1;1;1;1;1;1;1;1;1;1;1;1;1;1;50;1;1;1;1;1;1;1;50;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;62872;1014;28;0;0;0;0;0;62872;1014;28;0;0;0;0;0;0;24;5322;0.86;2875;28;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;-65.0042;4;-31.9258;142;0.073529;0.25;0.073529;0.088235;0.102941;0.088235;0.073529;0.073529;0.088235;0.088235;0.082192;0.150685;0.068493;0.09589;0.164384;0.109589;0.082192;0.068493;0.109589;0.068493;0.0327;0;1.979022363;0.829318126;8;8.9605734767;0.3913667285;34;0;0.0285714286;0.0285714286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3142857143;0;0;0;0;0;0;0;0.0571428571;0;0;0.1714285714;0;0;0;0;0;0;0;0;0;0.0857142857;0;0;0.0571428571;0;0;0;0.0857142857;0.2285714286;0.0857142857;0;0.0285714286;0;0;0;0;0;0;0;0;0;0;0;0.0571428571;0;0.2285714286;0.0285714286;0.1142857143;0.5714285714;5656;547;39;8;0;0;1;0;1;1;1;1;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;31;35;4.290323;-71.5909;-64.2627;1.3461539;228.54839;0.01928245;0;1;0.033333335;0.8;0.06896552;0.3448276;1;3;4
0.9310344828;1;16;1.875;2;0.9375;-128.84;-130.634;-129.821;-74.9028;0;5.086;0;-0.657;0;0;-0.835;0;0;-13.919;-1.209;-1.102;-0.809;-1.225;1.234;4.197;13.229;9.032;-282;-9.401;0.7153;3.61;39.58;-286.2;-9.541;0.7227;3.357;39.86;-295.3;-9.842;0.7344;2.902;40.32;0;0;0;51;51;51;0;0;0;11;11;11;0.54;1.918;1.378;7.279;6.739;5.361;50;1;1;1;1;1;1;1;1;1;1;1;1;1;1;50;1;1;1;1;1;1;1;50;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;28800;4750;291;7;3;0;0;0;28800;4750;291;7;3;0;0;0;0;240;7872;0.7;3150;27;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;-74.7174;5;-25.786;15;0.108108;0.243243;0.081081;0.094595;0.067568;0.067568;0.081081;0.094595;0.094595;0.067568;0.121622;0.216216;0.067568;0.094595;0.108108;0.067568;0.067568;0.081081;0.108108;0.067568;0.03283;0;3.5746201966;0.6842091541;16;6.3926940639;0.4457079194;27;0;0.03125;0.0625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.59375;0.03125;0;0;0;0;0;0;0.09375;0;0.03125;0.1875;0;0;0;0;0;0;0;0;0;0.15625;0;0.0625;0.09375;0;0;0;0.15625;0.34375;0.1875;0;0.09375;0;0.03125;0;0;0;0;0;0;0;0;0;0.0625;0;0.375;0.03125;0;0.65625;6618;891;328;19;5;0;1;0;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;0;0;0;0;0;1;30;32;5.3333335;-72.0265;-69.2512;1.1428572;227.66667;0.034808017;0;0.93333334;0.03448276;0.6896552;0.035714287;0.25;1;3;4
1.0833333333;1;17;1.5882352941;1.4705882353;1.08;-127.775;-130.288;-104.667;-60.0616;-0.236;3.973;0;-0.374;-0.011;-0.12;-0.535;-0.001;-0.103;-9.781;-0.908;-1.183;-0.855;-1.707;1.311;-0.278;3.242;3.52;-201.9;-7.478;0.6047;6.571;32.16;-201.6;-7.468;0.6041;6.601;32.14;-205.1;-7.598;0.6088;6.459;32.27;2;2;0;49;47;47;2;2;0;12;10;10;0.67;1.376;0.706;9.709;9.039;8.333;50;0.85;0.7727;0.8095;0.9681;0.9657;0.8;0.9966;0.85;0.7727;0.8095;0.9681;0.9657;0.8;0.9966;50;1;1;1;1;1;1;1;50;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;15013;605;138;11;0;0;0;0;15013;605;138;11;0;0;0;0;0;57;15;0.32;654;26;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;-60.3926;5;-18.6851;30;0.070423;0.309859;0.070423;0.070423;0.084507;0.084507;0.070423;0.070423;0.084507;0.084507;0.071429;0.228571;0.071429;0.071429;0.1;0.142857;0.071429;0.071429;0.1;0.071429;0.09458;0;1.3717421125;0.8985396083;3;4.1152263375;0.788471816;15;0;0.04;0.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.08;0;0;0;0;0;0;0.12;0;0.04;0.32;0;0;0.04;0;0;0;0;0;0;0.2;0;0.12;0.16;0;0;0;0.2;0.64;0.32;0;0.12;0;0.04;0;0;0;0;0;0;0.04;0;0;0.08;0;0.64;0.04;0.08;0.52;9786;1288;49;1;0;0;1;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;27;25;4.0740743;-63.1549;-48.2981;1.1363636;423.1111;0.038118046;0;0.962963;0;0.8076923;0.08;0.36;1;0;0
0.9655172414;1;21;1.4761904762;1.5238095238;0.96875;-126.51;-129.814;-127.169;-78.2694;-0.707;5.086;0;-0.225;-0.098;-0.331;-0.345;-0.002;-0.359;-13.347;-2.427;-1.636;-1.17;-1.656;1.619;1.012;2.328;1.316;-252.4;-8.144;0.6452;6.224;38.3;-253.5;-8.176;0.6471;6.174;38.36;-254.8;-8.219;0.6461;6.195;38.33;0;0;0;59;59;59;0;0;0;18;18;18;0.038;0.511;0.473;10.821;10.783;10.31;50;1;1;1;1;1;1;1;1;1;1;1;1;1;1;50;1;1;1;1;1;1;1;50;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1279;410;17;1;0;0;0;0;1279;410;17;1;0;0;0;0;0;1458;8856;1.61;2458;28;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;-70.0803;3;-31.1202;35;0.082192;0.273973;0.068493;0.082192;0.068493;0.109589;0.068493;0.068493;0.068493;0.109589;0.082192;0.164384;0.068493;0.09589;0.123288;0.136986;0.068493;0.082192;0.068493;0.109589;0.07775;0;10.1672982716;0.5080900569;40;11.4187838995;0.4352598446;49;0;0.03125;0.125;0;0;0;0;0;0;0;0;0.0625;0;0;0;0.03125;0;0;1;0.09375;0;0;0;0;0;0;0.09375;0;0.03125;0.28125;0;0;0.03125;0;0;0.03125;0.03125;0;0;0.21875;0;0.125;0.1875;0;0;0;0.15625;0.59375;0.25;0;0.1875;0;0.03125;0;0;0;0;0;0;0.03125;0;0;0.125;0;0.625;0.03125;0;0.75;104;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;32;4.451613;-88.9632;-68.1633;1.1034483;344.4516;0.02360403;0;0.9677419;0.033333335;0.76666665;0.03448276;0.27586207;1;3;3
0.9444444444;1;14;1.2857142857;1.3571428571;0.9473684211;-80.1126;-80.7001;-78.4306;-57.4577;-0.236;3.02;-100;-0.203;-0.004;-0.136;-0.36;-0.001;-0.108;-10.105;-0.497;-0.384;-0.609;-0.741;1.002;6.106;7.124;1.018;-202.5;-11.249;0.8049;0.038;25.97;-208.6;-11.589;0.8197;-0.343;26.37;-209.6;-11.645;0.8184;-0.32;26.34;0;0;0;33;33;33;0;0;0;10;10;10;1.677;2.239;0.562;10.842;9.165;8.603;50;1;1;1;1;1;1;1;1;1;1;1;1;1;1;50;1;1;1;1;1;1;1;50;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;8409;1194;95;8;1;0;0;0;8409;1194;95;8;1;0;0;0;0;12;228;0.19;414;17;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;-56.3121;3;-19.5281;120;0.084746;0.186441;0.084746;0.084746;0.084746;0.118644;0.084746;0.084746;0.101695;0.084746;0.084746;0.118644;0.084746;0.101695;0.118644;0.118644;0.084746;0.084746;0.118644;0.084746;0.03162;0.0555555556;2.849002849;0.8613356264;4;2.8058361392;0.8010548969;16;0;0.0526315789;0.2631578947;0;0;0;0;0;0;0;0;0.1052631579;0;0;0;0.0526315789;0;0;1.8421052632;0.1578947368;0;0;0;0;0;0;0.1578947368;0;0.0526315789;0.6842105263;0;0;0.0526315789;0;0;0.1052631579;0.1052631579;0;0;0.3684210526;0;0.2631578947;0.3684210526;0;0;0;0.2631578947;1.1578947368;0.4736842105;0;0.3684210526;0;0.0526315789;0;0;0;0;0;0;0.0526315789;0;0;0.2105263158;0;1.1578947368;0.0526315789;0.1578947368;0.6842105263;1897;160;4;0;0;0;0;0;1;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;18;19;4.5555553;-61.5187;-49.8314;1;127.72222;0.02358072;0;0.8888889;0.05882353;0.47058824;0.0625;0;0.9444444;0;0
1.052631579;1;13;1.8461538462;1.7692307692;1.0434782609;-102.857;-103.335;-90.8944;-56.187;0;3.655;0;-0.36;0;0;-0.64;0;0;-9.854;-1.227;-1.07;-0.601;-0.936;1.002;6.346;7.351;1.005;-204.3;-8.512;0.6666;4.252;30.24;-210.6;-8.777;0.6815;3.859;30.66;-211.6;-8.819;0.6802;3.881;30.63;1;1;0;43;42;42;1;1;0;11;10;10;4.214;4.64;0.426;16.554;12.34;11.914;50;0.9444;0.8947;0.9189;0.9465;0.9446;0.75;0.9792;0.9444;0.8947;0.9189;0.9465;0.9446;0.75;0.9792;50;1;1;1;1;1;1;1;50;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;1;1;1;1;1;0;1;1;0;5406;554;263;43;11;5;2;0;5406;554;263;43;11;5;2;0;0;6;18;0.19;681;20;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;-54.05;3;-20.7739;48;0.073529;0.25;0.088235;0.088235;0.088235;0.117647;0.073529;0.073529;0.073529;0.073529;0.075758;0.212121;0.075758;0.075758;0.090909;0.151515;0.075758;0.075758;0.090909;0.075758;0.05995;0;1.6801075269;0.8843865925;6;6.9735006974;0.6524298075;17;0;0.0434782609;0.2608695652;0;0;0;0;0;0;0;0;0.1304347826;0;0;0;0.0869565217;0;0;1.652173913;0.1304347826;0;0;0;0;0;0;0.1304347826;0;0.0434782609;0.5652173913;0;0;0.0434782609;0;0;0.1739130435;0.0869565217;0;0;0.4347826087;0;0.2173913043;0.4347826087;0;0;0;0.2173913043;1.1304347826;0.4782608696;0;0.3043478261;0;0.0434782609;0;0;0;0;0;0;0.0434782609;0;0;0.1739130435;0;1.0869565217;0.0434782609;0.0434782609;0.6956521739;14619;1232;105;8;0;0;1;1;1;1;1;1;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;24;23;4.2083335;-62.165;-54.6574;1.3529412;408.54166;0.05360484;0;0.9583333;0;0.82608694;0.045454547;0.4090909;1;4;4
1.0434782609;1;16;1.625;1.5625;1.04;-99.381;-104.09;-93.4297;-54.4886;-0.236;3.973;0;-1.06;-0.012;-0.126;-1.156;-0.001;-0.109;-9.967;-2.476;-1.804;-1.549;-1.901;1.234;4.813;2.881;-1.932;-204.6;-7.87;0.6289;5.674;31.65;-209.4;-8.056;0.64;5.379;31.97;-207.5;-7.981;0.632;5.587;31.74;1;2;1;51;50;49;-3;-3;0;14;17;17;2.483;1.666;-0.817;5.974;3.491;4.308;50;0.5833;0.56;0.5714;0.8477;0.8405;0.6818;0.9356;0.6522;0.6;0.625;0.8547;0.8486;0.6818;0.9361;50;0.913;0.875;0.8936;0.9883;0.9874;0.8182;0.9968;50;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;12397;839;22;0;0;0;0;0;12397;839;22;0;0;0;0;0;1;18;5509026;2.08;11273;24;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;1;1;0;-54.0063;3;-28.2968;166;0.098592;0.239437;0.070423;0.098592;0.112676;0.070423;0.070423;0.070423;0.084507;0.084507;0.088235;0.161765;0.088235;0.073529;0.132353;0.073529;0.102941;0.073529;0.102941;0.102941;0.05409;0;10.5580693816;0.4134489227;32;11.611030479;0.4843025957;26;0;0.04;0.28;0;0;0;0;0;0;0;0;0.24;0;0;0;0.08;0.04;0;1.68;0.12;0;0;0;0;0;0;0.12;0;0.04;0.52;0;0;0.04;0;0;0.2;0.12;0;0;0.44;0;0.24;0.44;0;0;0;0.2;1.2;0.48;0;0.28;0;0.04;0;0.04;0.04;0;0;0;0.04;0;0;0.24;0;1.08;0.04;0;0.76;107;9;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;25;4.1153846;-60.4656;-49.1478;1.25;446.30768;0.022342334;0;1;0;0.92;0.041666668;0.375;1;2;2
1.1176470588;1;10;2.2;2;1.1;-93.7375;-95.0548;-79.4668;-44.3079;0;3.178;0;-0.614;0;0;-0.856;0;0;-7.621;-0.806;-0.798;-0.387;-1.042;0.771;4.784;7.197;2.413;-171.3;-7.787;0.6238;4.919;26.65;-176.1;-8.004;0.6369;4.624;26.97;-178.5;-8.114;0.6399;4.543;27.05;0;0;0;43;43;43;0;0;0;12;12;12;1.127;1.591;0.464;13.381;12.254;11.79;50;1;1;1;1;1;1;1;1;1;1;1;1;1;1;50;1;1;1;1;1;1;1;50;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;22466;976;52;8;1;0;0;0;22466;976;52;8;1;0;0;0;0;6;29;1.63;5284;19;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;-41.5625;3;-16.2863;24;0.079365;0.206349;0.079365;0.079365;0.095238;0.095238;0.079365;0.079365;0.111111;0.095238;0.081967;0.163934;0.081967;0.081967;0.114754;0.081967;0.081967;0.081967;0.131148;0.098361;0.01538;0;4.1701417848;0.7552498656;10;4.2283298097;0.7389984312;6;0;0.05;0.4;0;0;0;0;0;0;0;0;0.35;0;0;0;0.1;0.1;0;2.3;0.15;0;0;0;0;0;0;0.15;0;0.05;0.7;0;0;0.05;0;0;0.25;0.2;0;0;0.65;0;0.3;0.65;0;0;0;0.25;1.65;0.65;0;0.35;0;0.05;0;0.1;0.05;0;0;0;0.05;0;0;0.3;0;1.45;0.05;0.1;0.75;17675;824;170;29;4;0;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;0;0;0;0;0;0;22;20;4;-40.7206;-40.053;1.1111112;270.86365;0.016591074;0;1;0;1;0;0.55;1;3;3
1.0689655172;1;17;1.9411764706;1.8235294118;1.064516129;-136.968;-139.878;-110.437;-69.7946;0;4.927;0;-0.742;0;0;-1.006;0;0;-13.825;-1.897;-1.865;-1.143;-1.849;1.311;7.272;9.725;2.453;-256.4;-7.77;0.6228;7.414;39.94;-263.7;-7.99;0.6361;6.965;40.43;-266.1;-8.065;0.637;6.917;40.46;0;-1;-1;66;66;67;0;-2;-2;19;19;21;0.855;1.775;0.92;6.773;5.918;4.998;50;1;1;1;1;1;1;1;0.9412;0.9697;0.9552;0.9935;0.9933;0.9302;0.9986;50;0.9412;0.9697;0.9552;0.9935;0.9933;0.9302;0.9986;50;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;991;527;163;11;2;0;0;0;991;527;163;11;2;0;0;0;0;26;26;0.73;1430;31;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;-67.444;6;-29.4238;53;0.064935;0.311688;0.064935;0.077922;0.103896;0.064935;0.077922;0.064935;0.090909;0.077922;0.066667;0.173333;0.066667;0.08;0.16;0.08;0.093333;0.066667;0.133333;0.08;0.03944;0;7.1723148646;0.6046554379;35;8.4697910785;0.4941391414;37;0;0.0322580645;0.2903225806;0;0.0322580645;0.0322580645;0;0;0;0.0322580645;0;0.2580645161;0;0;0;0.064516129;0.1290322581;0;1.7096774194;0.0967741935;0;0;0;0;0;0;0.0967741935;0;0.0322580645;0.4516129032;0;0;0.0967741935;0;0;0.1935483871;0.1290322581;0;0;0.4516129032;0;0.1935483871;0.4516129032;0;0;0;0.1935483871;1.1612903226;0.4516129032;0;0.2580645161;0.0322580645;0.0322580645;0;0.064516129;0.064516129;0;0;0;0.064516129;0;0;0.1935483871;0;1.0322580645;0.0322580645;0;0.6774193548;2820;249;13;3;0;0;0;0;1;1;1;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;33;31;4.181818;-75.057;-68.3096;1.1923077;178.63637;0.03043023;0;0.969697;0.03125;0.78125;0.06451613;0.32258064;1;2;2
