1-dfki-ef	2-dfki-ef	3-dfki-ef	4-dfki-ef	5-dfki-ef	6-dfki-ef	7-dfki-ef	8-dfki-ef	9-dfki-ef	10-dfki-ef	11-dfki-ef	12-dfki-ef	13-dfki-ef	14-dfki-ef	15-dfki-ef	16-dfki-ef	17-dfki-ef	18-dfki-ef	19-dfki-ef	20-dfki-ef	21-dfki-ef	22-dfki-ef	23-dfki-ef	24-dfki-ef	25-dfki-ef	26-dfki-ef	27-dfki-ef	28-dfki-ef	29-dfki-ef	30-dfki-ef	31-dfki-ef	32-dfki-ef	33-dfki-ef	34-dfki-ef	35-dfki-ef	36-dfki-ef	37-dfki-ef	38-dfki-ef	39-dfki-ef	40-dfki-ef	41-dfki-ef	42-dfki-ef	43-dfki-ef	44-dfki-ef	45-dfki-ef	46-dfki-ef	47-dfki-ef	48-dfki-ef	49-dfki-ef	50-dfki-ef	51-dfki-ef	52-dfki-ef	53-dfki-ef	54-dfki-ef	55-dfki-ef	56-dfki-ef	57-dfki-ef	58-dfki-ef	59-dfki-ef	60-dfki-ef	61-dfki-ef	62-dfki-ef	63-dfki-ef	64-dfki-ef	65-dfki-ef	66-dfki-ef	67-dfki-ef	68-dfki-ef	69-dfki-ef	70-dfki-ef	71-dfki-ef	72-dfki-ef	73-dfki-ef	74-dfki-ef	75-dfki-ef	76-dfki-ef	77-dfki-ef	78-dfki-ef	79-dfki-ef	80-dfki-ef	81-dfki-ef	82-dfki-ef	83-dfki-ef	84-dfki-ef	85-dfki-ef	86-dfki-ef	87-dfki-ef	88-dfki-ef	89-dfki-ef	90-dfki-ef	91-dfki-ef	92-dfki-ef	93-dfki-ef	94-dfki-ef	95-dfki-ef	96-dfki-ef	97-dfki-ef	98-dfki-ef	99-dfki-ef	100-dfki-ef	101-dfki-ef	102-dfki-ef	103-dfki-ef	104-dfki-ef	105-dfki-ef	106-dfki-ef	107-dfki-ef	108-dfki-ef	109-dfki-ef	110-dfki-ef	111-dfki-ef	112-dfki-ef	113-dfki-ef	114-dfki-ef	115-dfki-ef	116-dfki-ef	117-dfki-ef	118-dfki-ef	119-dfki-ef	120-dfki-ef	121-dfki-ef	122-dfki-ef	123-dfki-ef	124-dfki-ef	125-dfki-ef	126-dfki-ef	127-dfki-ef	128-dfki-ef	129-dfki-ef	130-dfki-ef	131-dfki-ef	132-dfki-ef	133-dfki-ef	134-dfki-ef	135-dfki-ef	136-dfki-ef	137-dfki-ef	138-dfki-ef	139-dfki-ef	140-dfki-ef	141-dfki-ef	142-dfki-ef	143-dfki-ef	144-dfki-ef	145-dfki-ef	146-dfki-ef	147-dfki-ef	148-dfki-ef	149-dfki-ef	150-dfki-ef	151-dfki-ef	152-dfki-ef	153-dfki-ef	154-dfki-ef	155-dfki-ef	156-dfki-ef	157-dfki-ef	158-dfki-ef	159-dfki-ef	160-dfki-ef	161-dfki-ef	162-dfki-ef	163-dfki-ef	164-dfki-ef	165-dfki-ef	166-dfki-ef	167-dfki-ef	168-dfki-ef	169-dfki-ef	170-dfki-ef	171-dfki-ef	172-dfki-ef	173-dfki-ef	174-dfki-ef	175-dfki-ef	176-dfki-ef	177-dfki-ef	178-dfki-ef	179-dfki-ef	180-dfki-ef	181-dfki-ef	182-dfki-ef	183-dfki-ef	184-dfki-ef	185-dfki-ef	186-dfki-ef	187-dfki-ef	188-dfki-ef	189-dfki-ef	190-dfki-ef	191-dfki-ef	192-dfki-ef	193-dfki-ef	194-dfki-ef	195-dfki-ef	196-dfki-ef	197-dfki-ef	198-dfki-ef	199-dfki-ef	200-dfki-ef	201-dfki-ef	202-dfki-ef	203-dfki-ef	204-dfki-ef	205-dfki-ef	206-dfki-ef	207-dfki-ef	208-dfki-ef	209-dfki-ef	210-dfki-ef	211-dfki-ef	212-dfki-ef	213-dfki-ef	214-dfki-ef	215-dfki-ef	216-dfki-ef	217-dfki-ef	218-dfki-ef	219-dfki-ef	220-dfki-ef	221-dfki-ef	222-dfki-ef	223-dfki-ef	224-dfki-ef	225-dfki-ef	226-dfki-ef	227-dfki-ef	228-dfki-ef	229-dfki-ef	230-dfki-ef	231-dfki-ef	232-dfki-ef	233-dfki-ef	234-dfki-ef	235-dfki-ef	236-dfki-ef	237-dfki-ef	238-dfki-ef	239-dfki-ef	240-dfki-ef	241-dfki-ef	242-dfki-ef	243-dfki-ef	244-dfki-ef	245-dfki-ef	246-dfki-ef	247-dfki-ef	248-dfki-ef	249-dfki-ef	250-dfki-ef	251-dfki-ef	252-dfki-ef	253-dfki-ef	254-dfki-ef	255-dfki-ef	256-dfki-ef
?	?	1.0266432762	?	?	?	?	?	45	0	?	?	0.249	0	0	?	-26.3137760162	2	1	-9	0	0	17	?	-0.486	-10.205	?	?	?	?	0	?	?	?	?	0	-109.0915603638	26.268	0.197	0	?	0	0.8748332262	inf	?	67.451	?	?	2	0	?	0	?	223.21	?	?	?	?	0.444	?	-3.056	0	?	0	-16.781	inf	?	103	?	?	-40.266	-25.397857666	?	?	0	-1.127	0	0	?	?	?	?	0	?	?	?	?	?	13	?	?	?	?	-109.6032180786	0	2.702	-2.363	1.5	?	?	3	-121.4230575562	0	0	?	0	0	0.8058252335	?	0	-57.9430809021	?	?	-40.864	?	0	inf	?	?	6.38	0	?	?	?	-20.333	-inf	0	-0.148	-0.001	-0.184	-0.126	-0.04	-0.169	-1.233	?	0	0.7647058964	?	0	?	inf	0	0	?	-2.288	3	?	?	?	11	-5.494	1.0264316797	?	?	0	?	6	1.0528053045	-1.051	0.5	?	?	-20.5864048004	0	8.999	?	inf	6	2	inf	-29.7799549103	?	0	?	1	1559.368	83	-0.531	?	0	?	?	-27.0148601532	3	0	0.6666666865	?	14.94	2	?	0	?	0	?	6.06	?	?	?	?	?	0	0.499	?	?	1	-0.717	0.8105567694	?	1.8333333731	-119.8863983154	-0.721	?	0	?	-0.653	?	?	-47.6637077332	0.902656	227	?	?	?	?	0.8225953579	31.488	0	-132.6201324463	?	?	50.044	-26.0524940491	?	3	6	?	2	233	39.489	0	0	?	0.9099577665	?	?	991.493	-0.787	2	690	3	?	-1.54	0.694	?	0	-1
?	?	0.9832257628	?	?	?	?	?	232	0	?	?	0.243	1	0	?	-59.4903907776	3	1	-14	0	0	35	?	-0.458	-23.506	?	?	?	?	0	?	?	?	?	0	-213.3878936768	134.234	0.181	0	?	0	0.9851339459	inf	?	365.404	?	?	3	0	?	3	?	1100.688	?	?	?	?	0.426	?	-5.683	0	?	0	-34.026	inf	?	190	?	?	-64.588	-61.5069084167	?	?	0	-1.045	0	0	?	?	?	?	0.25	?	?	?	?	?	31	?	?	?	?	-216.3452148438	0	5.562	-4.091	0.75	?	?	5	-213.0570220947	0	0	?	0	0	0.8578947186	?	0	-111.5190429688	?	?	-86.632	?	0	0.25	?	?	5.26	0	?	?	?	-38.481	-228.1638336182	0	-0.465	-0.002	-0.318	-0.303	-0.052	-0.314	-3.547	?	4	0.8857142925	?	0	?	inf	0	0	?	-4.375	10	?	?	?	19	-12.041	1	?	?	0	?	10	0.9686924219	-3.407	1	?	?	-57.1134796143	0	21.998	?	inf	10	3	inf	-72.2063522339	?	0	?	1	48572.559	163	-0.825	?	0	?	?	-58.4924850464	6	0	0.6000000238	?	33.177	4	?	0	?	1.0144371986	?	5.43	?	?	?	?	?	0	0.493	?	?	2	-0.923	0.9285701513	?	1.8999999762	-210.4240875244	-1.448	?	2	?	-1.478	?	?	-103.8016586304	1.01543	1000	?	?	?	?	0.9307976365	212.291	0	-231.4578857422	?	?	322.576	-71.1329269409	?	6	12	?	2	1000	220.392	0	0	?	1.0140849352	?	?	45067.574	-1.49	4	18018.668	3	?	-2.47	1.619	?	0	-1
?	?	0.9188549519	?	?	?	?	?	2952	2	?	?	0.175	1	0	?	-68.6003570557	4	1.3333333731	0	0	0	32	?	-0.359	-19.44	?	?	?	?	0	?	1	?	?	0	-194.6477355957	1704.627	0.091	0	?	0	0.9715753198	inf	?	277307.531	?	?	3	2	?	3	?	2438.294	?	?	?	?	0.302	?	0	0	?	0	-19.02	inf	?	193	?	?	-32.02	-58.5972557068	?	?	0	-0.954	0	0	?	?	?	?	0.25	?	?	?	?	?	30	?	?	?	?	-197.9051513672	0	5.086	0	1	?	?	5	-211.440826416	1	0	?	0	0	0.9792746305	?	0	-102.7092971802	?	?	-91.522	?	0	0.3333333433	?	?	6.3	0	?	?	?	-28.457	-222.1631011963	0	-0.835	0	0	-0.657	0	0	-7.13	?	3	0.9375	?	0	?	0	0	0	?	0	8	2	?	?	11	-13.919	1	?	?	0	?	8	1.044776082	-6.121	1	?	?	-59.4452056885	0	16.998	?	0	9	2	1	-74.3240814209	?	0	?	1	31542829056	189	0	?	0	?	?	-63.0337791443	6	2	0.400000006	?	49.379	3	?	0	?	inf	?	6.03	?	?	?	?	?	0	0.418	?	?	3	0	1.0144708157	?	1.222222209	-208.0046539307	-0.809	?	2	?	-1.209	?	?	-99.7074432373	0.935984	1000	?	?	?	?	0.9707732797	169530.109	0	-inf	?	?	249907.938	-72.21144104	?	6	12	?	0.6666666865	1000	177603.016	0	0	?	0.9357854724	?	?	28740458496	-1.102	2	2905752	3	?	-1.225	1.234	?	0	-1
?	?	0.950648129	?	?	?	?	?	2650.5	1	?	?	0.193	1	0	?	-52.5756645203	2	1	-4	0	0	25	?	-0.391	-14.2	?	?	?	?	0	?	?	?	?	0	-138.5325012207	1530.556	0.087	0	?	0	1.027675271	inf	?	324495.969	?	?	2	1	?	4	?	1186.62	?	?	?	?	0.295	?	-2.161	0	?	0	-19.895	inf	?	128	?	?	-44.632	-48.0969467163	?	?	0	-0.932	0	0	?	?	?	?	0.400000006	?	?	?	?	?	27	?	?	?	?	-138.977935791	0	3.973	-1.328	1.3333333731	?	?	6	-159.3488922119	0	0	?	0	0	1.0625	?	0	-84.6059036255	?	?	-58.295	?	0	1	?	?	5.04	0	?	?	?	-30.542	-184.0377197266	0	-0.535	-0.001	-0.103	-0.374	-0.011	-0.12	-3.648	?	1	1.0800000429	?	0	?	inf	0	0	?	-1.63	10	?	?	?	11	-9.781	0.7760000229	?	?	0	?	8	0.984375	-3.789	1.25	?	?	-48.0509033203	0	16.998	?	inf	8	6	1	-57.4696655273	?	0	?	2	31946057728	136	-0.236	?	0	?	?	-49.9809570313	3	0	1	?	34.447	3	?	0	?	0.8540875912	?	5.12	?	?	?	?	?	0	0.439	?	?	2	-0.188	0.9990426302	?	1.375	-158.1896057129	-0.855	?	0	?	-0.908	?	?	-87.4264373779	0.872161	1000	?	?	?	?	1.0333372355	184858.891	0	-157.1843414307	?	?	292038.469	-59.0601577759	?	6	10	?	0.5	776	178734.609	0	0	?	0.875737071	?	?	34172811264	-1.183	1	2342600.25	4	?	-1.707	1.311	?	0	-1
?	?	0.9398922324	?	?	?	?	?	206.5	3	?	?	0.166	1	0	?	-68.9759292603	1	0.5	-12	0	0	32	?	-0.473	-38.129	?	?	?	?	0	?	?	?	?	0	-175.237487793	119.511	0.182	0	?	0	0.9787740111	inf	?	311.527	?	?	2	1	?	2	?	889.684	?	?	?	?	0.426	?	-5.981	0	?	0	-27.642	inf	?	180	?	?	-43.297	-66.7574462891	?	?	0	-1.046	0	0	?	?	?	?	0.200000003	?	?	?	?	?	31	?	?	?	?	-177.0083770752	0	5.086	-4.615	1	?	?	5	-189.3717041016	0	0	?	0	0	0.9333333373	?	0	-102.4161758423	?	?	-56.689	?	0	0.3333333433	?	?	5.42	0	?	?	?	-42.258	-208.9185180664	0	-0.345	-0.002	-0.359	-0.225	-0.098	-0.331	-3.846	?	3	0.96875	?	0	?	inf	0	0	?	-4.206	10	?	?	?	12	-13.347	1	?	?	0	?	10	0.9644128084	-3.771	1	?	?	-67.7995147705	0	21.998	?	inf	8	3	0.3333333433	-76.2023773193	?	0	?	3	39020.277	168	-0.707	?	0	?	?	-64.8299407959	1.6666666269	0	0.6000000238	?	29.828	3	?	0	?	0.9360948801	?	5.62	?	?	?	?	?	0	0.407	?	?	3	-1.744	1.0156097412	?	1.5	-188.4798126221	-1.17	?	2	?	-2.427	?	?	-99.3661499023	0.934714	1000	?	?	?	?	0.9702192545	199.007	0	-195.5675506592	?	?	274.626	-74.5849075317	?	5	10	?	1.6666666269	1000	197.536	0	0	?	0.9297413826	?	?	39603.93	-1.636	5	14282.917	3	?	-1.656	1.619	?	0	-1
?	?	0.6592538953	?	?	?	?	?	1704	1	?	?	0.182	1	0	?	-52.8887138367	1	0.5	-4	0	0	19	?	-0.291	-7.896	?	?	?	?	0	?	?	?	?	0	-133.3873901367	984.093	0.08	0	?	0	0.9379101396	inf	?	136223.703	?	?	2	1	?	2	?	1084.059	?	?	?	?	0.282	?	-2.462	0	?	0	-14.355	inf	?	107	?	?	-19.377	-47.6567497253	?	?	0	-0.873	0	0	?	?	?	?	0.400000006	?	?	?	?	?	18	?	?	?	?	-134.6922302246	0	3.02	-1.387	4	?	?	3	-149.8243408203	0	0	?	0	0	0.9252336621	?	0	-69.6274108887	?	?	-58.552	?	0	1	?	?	5.5	0	?	?	?	-9.924	-inf	0	-0.36	-0.001	-0.108	-0.203	-0.004	-0.136	-2.62	?	1	0.947368443	?	0	?	inf	0	0	?	-1.868	8	?	?	?	14	-10.105	1	?	?	0	?	8	0.976909399	-2.769	1	?	?	-38.9477920532	0	13.999	?	inf	8	2	1	-52.90858078	?	0	?	1	5137091584	99	-0.236	?	0	?	?	-34.8670921326	2	0	0.6666666865	?	32.925	1	?	0	?	nan	?	5.63	?	?	?	?	?	0	0.427	?	?	1	-0.064	0.8172566295	?	1.75	-146.4506530762	-0.609	?	0	?	-0.497	?	?	-64.6570510864	0.899001	1000	?	?	?	?	0.9286149144	74458.953	0	-inf	?	?	122119.195	-49.6234970093	?	2	5	?	1	1000	71673.508	0	0	?	0.9108009338	?	?	5544135168	-0.384	1	968440	4	?	-0.741	1.002	?	0	-1
?	?	0.8427411318	?	?	?	?	?	2326	0	?	?	0.207	1	0	?	-49.547039032	2	1	0	0	0	23	?	-0.37	-18.332	?	?	?	?	0	?	?	?	?	0	-131.5269622803	1343.205	0.084	0	?	0	1.0794323683	inf	?	290846.812	?	?	2	0	?	2	?	1179.27	?	?	?	?	0.29	?	0	0	?	0	-17.506	inf	?	117	?	?	-25.851	-46.0839195251	?	?	0	-0.92	0	0	?	?	?	?	0.2857142985	?	?	?	?	?	24	?	?	?	?	-131.8017578125	0	3.655	0	1	?	?	5	-130.7664337158	0	0	?	0	0	1.0598291159	?	0	-68.7614212036	?	?	-59.023	?	0	0.25	?	?	5.17	0	?	?	?	-25.764	-inf	0	-0.64	0	0	-0.36	0	0	-4.789	?	4	1.0434782505	?	0	?	inf	0	0	?	0	6	?	?	?	6	-9.854	0.0130000003	?	?	0	?	5	1.0157171488	-5.171	1.2000000477	?	?	-44.2349395752	0	13.999	?	inf	5	4	inf	-49.2522125244	?	0	?	2	28267110400	124	0	?	0	?	?	-41.7553291321	2	0	0.8000000119	?	34.341	2	?	0	?	0	?	5.09	?	?	?	?	?	0	0.454	?	?	1	0	0.9598779082	?	1.2000000477	-127.8708572388	-0.601	?	3	?	-1.227	?	?	-74.9681167603	1.00792	1000	?	?	?	?	1.0902642012	171823.562	0	-143.151260376	?	?	258462.391	-53.1644363403	?	4	7	?	3	13	168128.25	0	0	?	1.0285921097	?	?	29523339264	-1.07	3	1804200.625	2	?	-0.936	1.002	?	0	-1
?	?	1.0538119078	?	?	?	?	?	1368.5	2	?	?	0.283	1	0	?	-49.5252571106	3	1	-4	0	0	25	?	-0.861	-38.699	?	?	?	?	0	?	?	?	?	0	-136.9422149658	790.392	0.292	0	?	0	1.1991764307	inf	?	3526.385	?	?	3	1	?	2	?	585.338	?	?	?	?	0.54	?	-2.286	0	?	0	-36.03	inf	?	138	?	?	-49.707	-44.2810096741	?	?	0	-1.352	0	0	?	?	?	?	0.3333333433	?	?	?	?	?	26	?	?	?	?	-139.4652099609	0	3.973	-1.398	1.75	?	?	4	-138.3786773682	0	0	?	0	0	0.9565217495	?	0	-72.9977722168	?	?	-70.408	?	0	0.5	?	?	5.08	0	?	?	?	-46.582	-inf	0	-1.156	-0.001	-0.109	-1.06	-0.012	-0.126	-10.346	?	2	1.0399999619	?	0	?	inf	0	0	?	-2.088	8	?	?	?	3	-9.967	1	?	?	0	?	7	0.9202898741	-8.189	1.1428571939	?	?	-51.2786903381	0	15.998	?	inf	4	3	0.5	-50.1595916748	?	0	?	3	6420315.5	132	-0.236	?	0	?	?	-52.1903076172	2.6666667461	0	0.75	?	24.194	4	?	0	?	0	?	5.52	?	?	?	?	?	0	0.532	?	?	3	-0.206	1.1580289602	?	0.75	-136.2096405029	-1.549	?	1	?	-2.476	?	?	-78.6103973389	1.00785	1000	?	?	?	?	1.0768877268	2381.082	0	-150.1721496582	?	?	3016.968	-60.1501998901	?	8	6	?	1.3333333731	1000	2533.834	0	0	?	1.0053783655	?	?	5669552.5	-1.804	4	624720.25	7	?	-1.901	1.234	?	0	-1
?	?	0.9535781145	?	?	?	?	?	185	2	?	?	0.218	1	0	?	-38.5652389526	0	inf	0	0	0	20	?	-0.46	-12.692	?	?	?	?	0	?	?	?	?	0	-122.7288284302	107.098	0.162	0	?	0	1.053712368	inf	?	338.892	?	?	0	0	?	2	?	534.002	?	?	?	?	0.403	?	0	0	?	0	-9.126	inf	?	105	?	?	-27.239	-34.5797233582	?	?	0	-1.021	0	0	?	?	?	?	0.400000006	?	?	?	?	?	22	?	?	?	?	-123.4129638672	0	3.178	0	1.75	?	?	3	-131.1136779785	0	0	?	0	0	1.0380952358	?	0	-63.4134063721	?	?	-43.515	?	0	0.3333333433	?	?	4.95	0	?	?	?	-20.597	-inf	0	-0.856	0	0	-0.614	0	0	-6.563	?	3	1.1000000238	?	0	?	inf	0	0	?	0	7	?	?	?	10	-7.621	0.1936799139	?	?	0	?	6	0.9428571463	-6.248	1.1666666269	?	?	-34.2566833496	0	10.999	?	inf	6	3	0	-41.8488998413	?	0	?	3	41903.945	109	0	?	0	?	?	-36.7749671936	1.6666666269	0	1	?	23.108	4	?	0	?	nan	?	5.25	?	?	?	?	?	0	0.467	?	?	2	0	0.9906580448	?	1.6666666269	-129.8780517578	-0.387	?	2	?	-0.806	?	?	-67.4023895264	0.941267	981	?	?	?	?	1.0629043579	210.46	0	-inf	?	?	280.113	-44.0967025757	?	5	5	?	2.5	190	204.705	0	0	?	0.9449543953	?	?	44293.469	-0.798	5	11470	7	?	-1.042	0.771	?	0	-1
?	?	0.9521703124	?	?	?	?	?	221	2	?	?	0.175	1	0	?	-66.9782333374	0	0	0	0	0	31	?	-0.502	-29.559	?	?	?	?	0	?	?	?	?	0	-184.1523742676	127.883	0.141	0	?	0	1.0608323812	inf	?	352.203	?	?	1	0	?	3	?	1837.733	?	?	?	?	0.376	?	0	0	?	0	-26.503	inf	?	168	?	?	-48.35	-63.35754776	?	?	0	-1.061	0	0	?	?	?	?	0.3333333433	?	?	?	?	?	33	?	?	?	?	-185.2717285156	0	4.927	0	1.8333333731	?	?	5	-175.490234375	0	0	?	0	0	1.0119047165	?	0	-95.1438522339	?	?	-75.617	?	0	0.5	?	?	5.15	0	?	?	?	-48.174	-186.280670166	0	-1.006	0	0	-0.742	0	0	-7.671	?	2	1.0645161867	?	0	?	inf	0	0	?	0	9	?	?	?	9	-13.825	1	?	?	0	?	8	0.9501845241	-7.147	1.125	?	?	-62.3003082275	0	16.998	?	inf	8	4	0	-69.1451873779	?	0	?	4	47258.359	170	0	?	0	?	?	-63.774684906	2	0	0.8000000119	?	42.869	6	?	0	?	inf	?	5.42	?	?	?	?	?	0	0.419	?	?	4	0	0.9833130836	?	1.125	-173.1583404541	-1.143	?	1	?	-1.897	?	?	-104.3772964478	1.05574	1000	?	?	?	?	1.0970472097	210.062	0	-inf	?	?	307.255	-73.3514556885	?	8	9	?	2	1000	217.39	0	0	?	1.0634912252	?	?	44126.102	-1.865	8	16354	11	?	-1.849	1.311	?	0	-1
