1-edinburgh	2-edinburgh	3-edinburgh	4-edinburgh	5-edinburgh	6-edinburgh	7-edinburgh	8-edinburgh	9-edinburgh	10-edinburgh	11-edinburgh	12-edinburgh	13-edinburgh	14-edinburgh	15-edinburgh	16-edinburgh	17-edinburgh	18-edinburgh	19-edinburgh	20-edinburgh	21-edinburgh	22-edinburgh	23-edinburgh	24-edinburgh	25-edinburgh	26-edinburgh	27-edinburgh	28-edinburgh	29-edinburgh	30-edinburgh	31-edinburgh	32-edinburgh	33-edinburgh	34-edinburgh	35-edinburgh	36-edinburgh	37-edinburgh	38-edinburgh	39-edinburgh	40-edinburgh	41-edinburgh	42-edinburgh	43-edinburgh	44-edinburgh	45-edinburgh	46-edinburgh	47-edinburgh	48-edinburgh	49-edinburgh	50-edinburgh	51-edinburgh	52-edinburgh	53-edinburgh	54-edinburgh	55-edinburgh	56-edinburgh
1.7857142857	2.2142857143	2.2857142857	2.2857142857	1.9444444444	2.6111111111	3	3.1666666667	0.4312740184	0.0115825898	0.692308	0.0422497829	0.566265	0.0241912943	0.705882	0.0557637512	0.112936345	0.0233582123	0.7419866572	0.0799948974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.3076923077	1	0.5384615385	0	0	1	0.1538461538	0.671083603	0.0390533847
1.875	2.34375	2.5	2.5625	1.9444444444	2.5277777778	2.8055555556	2.9444444444	0.2210786737	0.0009274359	0.741935	0.004676724	0.613497	0.0036937308	0.714286	0.0069128247	0.2340862423	0.0034701675	0.7923964606	0.0991511495	2	1	1	0	0	0	1	1	0	0	4	0	3	1	1	0	0	0	1	1	0	0	5	0	1	0.064516129	1	0.1612903226	1	0.7096774194	0	0	1	0.064516129	0.7144846629	0.0464692569
1.9032258065	2.2903225807	2.4516129032	2.5161290323	1.8484848485	2.4242424242	2.7272727273	2.7878787879	0.1474549304	0.0001016476	0.766667	0.0061514068	0.613757	0.0021868346	0.6875	0.0107032375	0.2422997947	0.0031742912	0.7113469099	0.0946206624	2	2	2	0	0	0	1	2	0	0	4	0	3	2	1	0	0	0	1	2	0	0	4	0	0	0	0	0	1	1	0	0	0	0	0.8243076109	0.0511789562
1.9285714286	2.4642857143	2.6428571429	2.7142857143	1.8846153846	2.4615384615	2.6538461539	2.7307692308	0.0896277124	6.61954037912e-06	0.666667	0.0072325138	0.588235	0.0063283349	0.68	0.0213458983	0.1560574949	0.0124384767	0.7649610456	0.0880558126	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0.0740740741	1	0.037037037	1	0.8518518519	0	0	1	0.037037037	0.8215586881	0.0497929786
1.8125	2.21875	2.34375	2.375	1.8787878788	2.3939393939	2.6363636364	2.7575757576	0.168718727	0.000105832	0.741935	0.0051770781	0.613095	0.0032627396	0.6875	0.0093820105	0.2073921971	0.0039864581	0.7430414827	0.0967166737	2	2	1	0	0	0	1	2	0	0	5	0	2	2	1	0	0	0	1	2	0	0	5	0	0	0	0	0	1	0.935483871	1	0.064516129	0	0	0.7189628451	0.0492155381
1.6842105263	2	2.1052631579	2.1052631579	1.65	2	2.1	2.1	0.123648788	0.0006225555	0.722222	0.0214609817	0.565657	0.0157835056	0.631579	0.0418597504	0.1211498973	0.0204746399	0.7787766806	0.0821710849	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0.0555555556	0	0	1	0.8333333333	0	0	1	0.1111111111	0.7936666311	0.0465394669
2	2.56	2.76	2.84	1.9166666667	2.4166666667	2.6666666667	2.75	0.4659266365	0.0083598401	0.666667	0.0095722263	0.596774	0.0084719655	0.652174	0.0241165352	0.1437371663	0.0158301963	0.745029434	0.0749889432	3	0	1	0	0	0	0	0	0	0	4	0	3	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0.9583333333	0	0	1	0.0416666667	0.7676449982	0.0454881529
1.9259259259	2.5925925926	2.7407407407	2.7777777778	1.9230769231	2.5769230769	2.8846153846	2.9230769231	0.1236059199	2.93576663087e-06	0.692308	0.0076874016	0.575758	0.0068128067	0.72	0.0205172996	0.1683778234	0.0094954576	0.7613008641	0.0854022411	1	0	1	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0.0384615385	1	0.9615384615	0	0	0	0	0.7270937765	0.0418830241
2	2.7391304348	3.1739130435	3.3043478261	1.9523809524	2.5714285714	2.8571428571	2.9523809524	0.3151132435	0.0002454848	0.636364	0.012365251	0.577982	0.012138222	0.7	0.0355535888	0.1273100616	0.0214407167	0.6837348219	0.0729986699	2	0	1	0	0	0	0	0	0	0	3	0	2	0	1	0	0	0	0	0	0	0	3	0	1	0.1363636364	0	0	1	0.8181818182	0	0	1	0.0454545455	0.6872226662	0.0406576974
2	2.6470588235	2.8235294118	2.9117647059	2	2.53125	2.71875	2.75	0.1025090967	5.91904216235e-06	0.727273	0.0039487684	0.576471	0.0023103645	0.709677	0.0120020785	0.2032854209	0.0046566586	0.7025079978	0.0874603581	1	0	1	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0.8182234007	0.0511881544
2	2.5769230769	2.7307692308	2.8076923077	1.9230769231	2.5769230769	2.9230769231	3.0384615385	0.2319473361	0.0001179172	0.72	0.0099244774	0.584615	0.0076183723	0.68	0.020910847	0.1683778234	0.0106301025	0.7372752709	0.0862379132	1	0	1	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	2	0	1	0.04	0	0	1	0.96	0	0	0	0	0.7575198051	0.049712899
