1-loria	2-loria	3-loria	4-loria	5-loria	6-loria	7-loria	8-loria	9-loria	10-loria	11-loria	12-loria	13-loria	14-loria	15-loria	16-loria	17-loria	18-loria	19-loria	20-loria	21-loria	22-loria	23-loria	24-loria	25-loria	26-loria	27-loria	28-loria	29-loria	30-loria	31-loria	32-loria	33-loria	34-loria	35-loria	36-loria	37-loria	38-loria	39-loria	40-loria	41-loria	42-loria	43-loria	44-loria	45-loria	46-loria	47-loria	48-loria	49-loria
0.810526	0.687158	0.687158	0.687158	0.591579	0.768421	0.636211	0.602526	0.592	0.483789	0.289474	0.136737	0.0967368	0.0651579	0.0314737	0.294737	0.066	0.0438947	0.066	0.0255789	4.577190e-03	0.0163789	1.62493e-05	9.57935e-06	1.01485e-05	0.000225069	9.16048e-11	2.62866e-11	2.8081e-11	3.871526e-01	4.537770e-01	0.0250594	1.65395e-05	2.70686e-05	4.62355e-05	0	0	0	0	8.437985e-03	13	17	1.3076923077	1	0	0	0	0	0
0.845946	0.704108	0.709514	0.731676	0.599784	0.810811	0.626378	0.625297	0.630703	0.50227	0.281081	0.0595405	0.0330541	0.0276486	0.00981081	0.321622	0.0441892	0.0409459	0.0555405	0.0224595	6.613053e-03	0.00581239	3.73083e-07	3.91983e-07	5.33157e-07	0.000232988	0	0	0	4.604403e-01	5.610854e-01	0.00804068	7.68005e-07	8.57282e-07	1.74587e-06	0	0	0	0	6.589028e-03	31	35	1.1290322581	1	1	0	0	0	0
0.823529	0.634588	0.634588	0.652235	0.531765	0.723529	0.479353	0.478176	0.486412	0.339588	0.202941	0.0267353	0.00967647	0.0137941	0.00376471	0.276471	0.0287353	0.0281471	0.0440294	0.0157059	5.836252e-03	0.00259358	3.49783e-08	3.16529e-08	4.98155e-08	0.000340607	0	0	8.66962e-11	3.442227e-01	4.137032e-01	0.00529995	1.81908e-07	2.26967e-07	4.18349e-07	0	0	0	0	5.175574e-03	30	32	1.0666666667	1	1	0	0	0	0
0.803704	0.624741	0.639556	0.669926	0.514963	0.692593	0.414074	0.412593	0.42	0.267704	0.296296	0.0604074	0.0278148	0.0463333	0.009	0.337037	0.0485185	0.0544444	0.0737037	0.0308148	6.821671e-03	0.00111701	3.69286e-09	3.48987e-09	6.84824e-09	0.000223533	2.7653e-11	2.58491e-11	3.84607e-11	1.300749e-01	4.376464e-01	0.00395663	8.22209e-08	1.32167e-07	3.36225e-07	0	0	0	0	5.950538e-03	27	25	0.9259259259	1	1	0	0	0	0
0.847059	0.715529	0.704941	0.699059	0.622353	0.729412	0.508941	0.490118	0.478353	0.384706	0.267647	0.0637941	0.0349706	0.0290882	0.00979412	0.311765	0.0464706	0.0429412	0.0588235	0.0235294	5.306784e-03	0.00252907	3.40299e-08	2.01413e-08	1.6561e-08	0.000215039	0	0	0	3.806872e-01	3.877710e-01	0.00573527	3.15914e-07	2.31386e-07	2.53931e-07	0	0	0	0	7.178114e-03	31	32	1.0322580645	1	1	0	0	0	0
0.771429	0.596952	0.587429	0.587429	0.443048	0.547619	0.268	0.256571	0.276571	0.16381	0.195238	0.057619	0.0109524	0.0157143	0.00338095	0.242857	0.0253333	0.024381	0.0510476	0.0132381	4.949018e-03	0.000284404	9.3259e-11	3.59133e-11	4.91895e-11	0.000438069	2.03886e-10	2.09097e-10	2.84832e-10	6.545289e-02	9.427710e-02	0.00238089	2.69648e-08	1.71416e-08	2.51846e-08	0	0	0	0	5.789459e-03	18	19	1.0555555556	1	1	0	0	1	0.055556
0.808	0.6352	0.6512	0.6768	0.5264	0.736	0.52352	0.50592	0.49792	0.3872	0.284	0.04292	0.03972	0.04692	0.01576	0.352	0.07732	0.06852	0.07972	0.03664	1.423559e-02	0.00248162	4.49929e-08	3.45846e-08	4.9834e-08	0.000477225	2.2595e-10	1.74339e-10	1.76164e-10	5.063231e-01	5.361832e-01	0.00447787	1.40371e-07	2.18458e-07	4.30993e-07	0	0	0	0	1.180517e-02	24	23	0.9583333333	1	1	0	0	0	0
0.822222	0.678222	0.678222	0.678222	0.558519	0.755556	0.580444	0.564148	0.568593	0.432889	0.214815	0.0361852	0.0206296	0.0361852	0.00625926	0.285185	0.0377778	0.04	0.06	0.0217778	9.295512e-03	0.00291544	6.41986e-08	4.37016e-08	4.62013e-08	0.000152595	9.79184e-12	9.16317e-12	2.10832e-11	3.150837e-01	3.819362e-01	0.00591036	3.08204e-07	3.01013e-07	4.14306e-07	0	0	0	0	9.130630e-03	26	25	0.9615384615	1	1	0	0	0	0
0.836364	0.719273	0.710182	0.710182	0.645091	0.754545	0.561091	0.532	0.522909	0.428727	0.277273	0.0815909	0.0370455	0.0279545	0.0126818	0.313636	0.0462273	0.0407727	0.0639545	0.0227727	8.689009e-03	0.00269067	6.40251e-08	2.78217e-08	1.99412e-08	0.000249241	3.59237e-11	3.82066e-11	8.70303e-11	3.076181e-01	4.879834e-01	0.00825598	9.07778e-07	6.93599e-07	1.03691e-06	0	0	0	0	8.088582e-03	22	20	0.9090909091	1	1	0	0	0	0
0.809091	0.633333	0.634545	0.653333	0.559273	0.751515	0.529455	0.528242	0.534303	0.46497	0.215152	0.0527273	0.0251515	0.0221212	0.00924242	0.257576	0.0282727	0.0246364	0.0400909	0.0158182	4.974128e-03	0.0019321	1.70083e-08	1.56733e-08	2.67567e-08	8.13356e-05	0	0	0	2.294073e-01	2.427612e-01	0.00198739	1.60629e-08	1.51227e-08	3.08228e-08	0	0	0	0	3.947706e-03	33	31	0.9393939394	1	1	0	0	0	0
