1-sdl	2-sdl	3-sdl	4-sdl	5-sdl	6-sdl	7-sdl	8-sdl	9-sdl	10-sdl	11-sdl	12-sdl	13-sdl	14-sdl	15-sdl
13	0	73.74	5.4615383	-33.1599	1.0625	0.8333333	0.09090909	0.27272728	-5.494	-0.653	-0.721	6	50	0.92
31	0	60.6	4.290323	-71.5909	1.3461539	0.8	0.06896552	0.3448276	-12.041	-1.478	-1.448	22	75.86	0.94
30	0	51.1	5.3333335	-72.0265	1.1428572	0.6896552	0.035714287	0.25	-13.919	-1.209	-0.809	23	79.31	0.97
27	1	100	4.0740743	-63.1549	1.1363636	0.8076923	0.08	0.36	-9.781	-0.908	-0.855	21	77.78	1
31	0	68.5	4.451613	-88.9632	1.1034483	0.76666665	0.03448276	0.27586207	-13.347	-2.427	-1.17	18	60	0.97
18	2	51.16	4.5555553	-61.5187	1	0.47058824	0.0625	0	-10.105	-0.497	-0.609	14	82.35	0.94
24	0	56.92	4.2083335	-62.165	1.3529412	0.82608694	0.045454547	0.4090909	-9.854	-1.227	-0.601	17	70.83	1
26	0	48.06	4.1153846	-60.4656	1.25	0.92	0.041666668	0.375	-9.967	-2.476	-1.549	14	63.64	0.85
22	0	81.68	4	-40.7206	1.1111112	1	0	0.55	-7.621	-0.806	-0.387	14	63.64	1
33	0	52.33	4.181818	-75.057	1.1923077	0.78125	0.06451613	0.32258064	-13.825	-1.897	-1.143	23	71.88	0.97
25	0	33.24	4.24	-51.3567	1.0869565	0.7916667	0.13043478	0.26086956	-9.38	-1.241	-0.998	11	45.83	0.96
32	1	67.42	3.6875	-84.0007	1.2592592	0.67741936	0	0.13333334	-13.141	-1.555	-1.056	22	78.57	0.88
11	1	66.83	4.181818	-30.0067	1	0.6	0.11111111	0.11111111	-4.633	-0.734	-0.497	5	45.45	1
18	0	40.77	3.3888888	-31.0044	1.1333333	0.9411765	0	0.75	-6.546	-1.019	-0.479	6	35.29	0.94
21	1	73.4	3.857143	-46.4844	1.1428572	0.85	0	0.47368422	-7.879	-1.417	-0.656	10	55.56	0.86
18	0	44.74	3.6111112	-38.7255	1.117647	0.9411765	0.125	0.4375	-6.332	-1.031	-0.655	9	64.29	0.78
6	0	6.71	7	-23.8588	1.25	0.6	0	0	-5.18	-0.175	-0.31	4	80	0.83
12	3	14.64	6	-30.9435	1.25	0.36363637	0	0.2	-5.077	-1.501	-1.77	7	58.33	1
14	0	61.25	3.5	-24.6905	1	1	0.083333336	0.6666667	-4.728	-0.554	-0.336	9	69.23	0.93
9	2	2.97	4.5555553	-38.3852	1	0.375	0	0	-6.367	-0.759	-0.4	3	37.5	0.89
25	3	37.32	4.52	-82.9981	1.2916666	0.6666667	0.04347826	0.17391305	-13.833	-1.466	-1.094	15	68.18	0.88
4	1	10.99	2.5	-13.7025	1	0.33333334	0	0	-2.452	-0.078	-0.053	3	75	1
18	0	30.76	3.2222223	-41.6504	1	0.88235295	0	0.625	-6.835	-1.978	-1.147	11	64.71	0.94
28	0	45.29	4.357143	-53.432	1	0.8148148	0.07692308	0.61538464	-8.933	-1.283	-0.869	17	62.96	0.96
43	3	47.39	4.116279	-121.924	1.2307693	0.71428573	0.024390243	0.2195122	-19.977	-3.206	-2.007	30	75	0.93
19	4	22.54	4.5263157	-36.5455	1	0.5	0.05882353	0.1764706	-9.087	-1.174	-0.408	11	61.11	0.95
17	1	25.02	3.8235295	-34.6351	1	0.75	0	0.46666667	-5.808	-1.729	-0.465	7	43.75	0.94
15	3	53.77	3.5333333	-38.3014	1.0909091	0.5	0	0.30769232	-6.712	-1.746	-0.443	6	50	0.8
15	1	35.89	3.0666666	-25.5654	1.25	0.78571427	0	0.6923077	-5.835	-0.604	-0.518	11	73.33	1
7	0	18.73	4.428571	-21.5892	1	0.33333334	0	0.2	-2.814	-0.749	-0.334	2	28.57	1
18	1	40.95	3.0555556	-50.8789	1.0625	0.7058824	0.0625	0.375	-9.044	-0.888	-0.648	10	62.5	0.89
17	1	12.76	4.2941175	-54.5126	1.0666667	0.625	0	0.26666668	-9.439	-0.973	-0.518	6	40	0.88
41	2	30.47	3.902439	-118.204	1.1935484	0.65	0.07692308	0.23076923	-19.563	-3.078	-1.44	20	60.61	0.8
23	1	57.89	4	-56.0671	1.0909091	0.77272725	0.04761905	0.2857143	-9.901	-1.766	-0.85	14	70	0.87
21	4	43.49	3.952381	-54.7941	1.05	0.6	0	0.31578946	-12.088	-1.225	-0.796	12	60	0.95
12	1	54.01	4.0833335	-46.6337	1.0833334	0.45454547	0	0	-7.348	-0.776	-0.378	4	36.36	0.92
43	0	50.01	4.255814	-92.5462	1.2777778	0.8095238	0.024390243	0.4878049	-19.136	-1.679	-1.574	30	71.43	0.98
17	0	18.63	4.882353	-42.3726	1.117647	0.875	0.13333334	0.26666668	-6.572	-1.294	-0.843	10	76.92	0.76
24	1	22.4	4.25	-47.4762	1.08	0.73913044	0	0.5	-9.539	-1.594	-1.518	16	69.57	0.96
