1-tcd	2-tcd	3-tcd	4-tcd	5-tcd	6-tcd	7-tcd	8-tcd	9-tcd	10-tcd	11-tcd	12-tcd	13-tcd	14-tcd	15-tcd	16-tcd	17-tcd	18-tcd	19-tcd	20-tcd	21-tcd	22-tcd	23-tcd	24-tcd	25-tcd	26-tcd	27-tcd	28-tcd	29-tcd	30-tcd	31-tcd	32-tcd	33-tcd	34-tcd	35-tcd	36-tcd	37-tcd	38-tcd	39-tcd	40-tcd	41-tcd	42-tcd	43-tcd
0.4685185185	0.3305501085	0.4426470588	0.3941176471	0.2821803532	0.8181818182	0.5195301906	0.3129832037	0.1600365491	0.7	0.4088305407	0.4287518806	0.7166666667	0.0024302118	0.0032201896	0.0014972484	0.0017556253	0.0007031818	0.0007831422	0.0002578591	0.0002687928	9.33538131797039e-05	9.43386716409085e-05	0.0003969744	3.80556970909202e-05	0.5288461538	0.2939794133	0.5571428571	0.5571428571	0.7888888889	0.4011141295	0.2082992312	0.7807017544	0.7938596491	0.0161968998	0.0199327388	0.0104647627	0.0122123314	0.0015146649	0.0049154239	0.0006006139	0.0011972815	0.0007719066
0.2654320988	0.1909451195	0.301953125	0.335	0.2341086825	0.617816092	0.3789957478	0.2578174315	0.2263142291	0.6055555556	0.3868746106	0.4034129459	0.625	0.0074979222	0.0159181363	0.0405546016	0.0478580569	0.0047912597	0.0123090729	0.0343364379	0.0397344691	0.0334920539	0.0381224448	0.0126302791	0.0374636825	0.211827957	0.1208337323	0.3797619048	0.4128205128	0.5580808081	0.3095816454	0.2418381173	0.6818181818	0.702020202	0.0161589498	0.025799532	0.0509845068	0.0615859319	0.0034979421	0.0128616603	0.0341103432	0.0407946327	0.002793864
0.1595238095	0.1069960636	0.28515625	0.33125	0.2399084416	0.65	0.4004865266	0.2637640468	0.2122196308	0.5718390805	0.4210789214	0.4403055635	0.591954023	0.0062234761	0.008210707	0.0365997329	0.0393483226	0.0012874166	0.0031571231	0.0327804418	0.0346369035	0.0316102564	0.0331807718	0.002988881	0.0325598905	0.1730555556	0.111182656	0.3025735294	0.3736842105	0.5416666667	0.2909352796	0.2446264714	0.6639784946	0.6908602151	0.0154945185	0.0153797923	0.0465089123	0.0464384999	0.004499186	0.0044358376	0.0374947827	0.0374112424	0.0014243761
0.3413043478	0.2372379122	0.2586111111	0.2981182796	0.3383008442	0.8933333333	0.515415825	0.3809853074	0.2317364283	0.630952381	0.5269510468	0.5529298235	0.6517857143	0.0287132169	0.0359361377	0.0547096729	0.062750031	0.0022805621	0.0102191925	0.0356633278	0.0413896614	0.0331767341	0.0384543941	0.0089462598	0.0374003353	0.1609126984	0.1040601933	0.3077380952	0.3379310345	0.6594202899	0.3789655591	0.2181838742	0.6314102564	0.6538461538	0.0150860685	0.0214943659	0.0451969654	0.0523315453	0.0013489301	0.0095746736	0.0371936076	0.0430908394	0.0008831796
0.2173611111	0.1457371625	0.1830729167	0.2408333333	0.2470808447	0.6522988506	0.3931321772	0.2697173883	0.2087569465	0.4972222222	0.4323514341	0.4521655715	0.5305555556	0.0106774054	0.0126345705	0.041425191	0.0450701146	0.0009277961	0.0025468009	0.0320424356	0.0342612256	0.0311088383	0.0331147935	0.0025363147	0.0327871881	0.275	0.1777225833	0.3032828283	0.3518518519	0.6166666667	0.3624240295	0.2605886865	0.6397849462	0.6720430108	0.0173138851	0.0313289816	0.0519197054	0.0638566123	0.0049778468	0.0265764088	0.03705033	0.0489742875	0.0011168763
0.1229166667	0.0814661541	0.2668650794	0.3085227273	0.2017174941	0.5572916667	0.3612520877	0.215396413	0.1986916532	0.4561403509	0.3851806861	0.3999206675	0.4956140351	0.0024643612	0.0083306044	0.0366169777	0.0429376663	0.000605399	0.0089122439	0.0389433918	0.0446419628	0.0396117622	0.0453220157	0.0105076576	0.0446334965	0.1305555556	0.0862742055	0.2808712121	0.3201086957	0.5637254902	0.3691501782	0.1951663858	0.5125	0.55	0.0068784803	0.0127501304	0.0407832649	0.0469103164	0.0006097262	0.0091775606	0.0397521601	0.0451319557	0.0007129806
0.1475	0.1024612437	0.2534722222	0.3255952381	0.1944799502	0.5416666667	0.3456383116	0.2108291539	0.2332857548	0.6060606061	0.3749340297	0.3901230114	0.6136363636	0.0118201615	0.0135915487	0.0554550791	0.060675753	0.0002262731	0.0015726823	0.0384913966	0.0412296688	0.0347634804	0.0371246963	0.0014437865	0.0362111781	0.0868421053	0.0462078371	0.2471014493	0.3524691358	0.380952381	0.2020647336	0.2581979239	0.5714285714	0.5992063492	0.0182043932	0.0199559804	0.064155548	0.0694276635	0.0032566498	0.0044589481	0.0434859548	0.0467138684	0.0001080869
0.2386363636	0.1664015821	0.3139880952	0.3491666667	0.3066473885	0.8402777778	0.5024425798	0.3440784256	0.2483461648	0.6730769231	0.4998823589	0.5242140856	0.6891025641	0.0218716057	0.0292957278	0.0572217975	0.0646449782	0.0018206863	0.0045491959	0.0367438257	0.0400712615	0.034189342	0.0365224122	0.0032441158	0.0357783208	0.1777777778	0.1052097336	0.3314814815	0.350862069	0.6811594203	0.3611328647	0.2391727525	0.7	0.7166666667	0.0219073106	0.0238611249	0.0586083127	0.0631388874	0.0021272025	0.0026720787	0.039593664	0.0409764796	0.0006427267
0.2472222222	0.1626378878	0.4717391304	0.5153846154	0.2500802667	0.6083333333	0.3370437837	0.2760306947	0.2683237956	0.8174603175	0.4209718378	0.4396440363	0.8253968254	0.0112528909	0.0198162968	0.0551000748	0.0665570354	0.002370542	0.0117604506	0.0420907298	0.0495447433	0.0381801918	0.0438580358	0.0113448729	0.042309633	0.2005208333	0.137913239	0.4488095238	0.45625	0.5648148148	0.3368758641	0.2521241123	0.6622807018	0.6798245614	0.0106955709	0.018640664	0.0538589776	0.0637015947	0.0021430545	0.0120015533	0.0434106785	0.050400095	0.0016848326
0.2362068966	0.1616883956	0.3542857143	0.3695945946	0.2776645562	0.8225806452	0.5199447976	0.309997966	0.2286761281	0.6565656566	0.4704625797	0.4935277498	0.6616161616	0.0199201512	0.0289614716	0.0496125809	0.0592917016	0.005222127	0.013017233	0.0341498901	0.0394296588	0.0318486596	0.03641052	0.0123115329	0.0355783275	0.225	0.1549642915	0.3257575758	0.3471428571	0.7988505747	0.5188943408	0.23908875	0.7096774194	0.7096774194	0.0168710184	0.0265806563	0.050269648	0.059879134	0.0037848741	0.0121062455	0.0356261088	0.0411003945	0.0032404664
