1-upc	2-upc	3-upc	4-upc	5-upc	6-upc	7-upc	8-upc	9-upc	10-upc	11-upc	12-upc	13-upc	14-upc	15-upc	16-upc	17-upc	18-upc	19-upc	20-upc	21-upc	22-upc	23-upc	24-upc	25-upc	26-upc	27-upc	28-upc	29-upc	30-upc	31-upc	32-upc	33-upc	34-upc	35-upc	36-upc	37-upc	38-upc	39-upc	40-upc	41-upc	42-upc	43-upc	44-upc	45-upc	46-upc	47-upc	48-upc	49-upc	50-upc	51-upc	52-upc	53-upc	54-upc	55-upc	56-upc	57-upc
0.9744254929	0.9447252133	0	0.2080285623	0.3484540978	0.2279003528	0.9	1	0.8947368421	0.8782809615	0.7741116582	0.9036641144	0.0666163901	0.0717692628	0.0199430199	0.1236389379	0.1652608614	0.0939062297	821.067	0.8622826155	72.9738	46.3087	54.3233	22.0684	72.1641	792.799	66.4031	80.6125	43.6033	45.8077	19.2843	71.5689	753.271	71.0659	79.5726	43.2103	44.9934	19.2603	70.0935	0	13.0	17.0	5.4615383	-33.1599	-32.8572	1.0625	76.46154	0.019463036	0.0	1.0	0.0	0.8333333	0.09090909	0.27272728	1.0	0.0	0.0	
0.9924744827	0.9797712884	4	0.4363535923	0.3856464732	0.4200465958	0.7647058824	0.8780487805	0.696969697	0.926178193	0.8150455502	0.9400570097	0.047200327	0.0913849128	0.022576552	0.123036345	0.1507725245	0.1078973826	987.389	0.9050230061	97.6751	60.0067	62.8403	18.005	96.4725	931.129	86.1454	93.1062	52.0389	52.4012	14.9858	80.412	888.277	78.9816	92.6205	51.7322	51.9088	14.9433	79.2534	0	31.0	35.0	4.290323	-71.5909	-64.2627	1.3461539	228.54839	0.01928245	0.0	1.0	0.033333335	0.8	0.06896552	0.3448276	1.0	3.0	4.0	
0.9196293312	0.8636155255	4	0.4446205347	0.420726827	0.5002821004	0.6857142857	1	0.6060606061	0.7801396341	0.6873433445	0.7972664221	0.1195025234	0.1827149842	0.100926672	0.2721882643	0.2520980017	0.2386594389	9158.78	0.7479019983	242.762	69.2947	62.0815	15.5989	164.012	9591.87	175.373	298.655	68.3616	57.4713	14.335	140.799	9699.04	166.64	296.099	67.7214	56.7069	14.3232	139.326	0	30.0	32.0	5.3333335	-72.0265	-69.2512	1.1428572	227.66667	0.034808017	0.0	0.93333334	0.03448276	0.6896552	0.035714287	0.25	1.0	3.0	4.0	
0.9312363834	0.984375	0	0.2920412308	0.3773300726	0.2620197552	0.5	0.9444444444	0.4230769231	0.9165985839	0.7762593574	0.8351765065	0.0625	0.130598946	0.0625	0.1031454248	0.2143140879	0.1031454248	416.197	0.8914695002	647.428	54.5627	56.3437	30.6514	441.109	418.777	428.464	596.197	57.485	57.3406	25.6427	437.161	408.267	431.078	600.074	57.116	56.8012	25.796	436.73	0	27.0	25.0	4.0740743	-63.1549	-48.2981	1.1363636	423.1111	0.038118046	0.0	0.962963	0.0	0.8076923	0.08	0.36	1.0	0.0	0.0	
0.8494594994	0.8616436757	3	0.2992749307	0.4197299189	0.3299862931	0.7692307692	0.9574468085	0.7027027027	0.8140323087	0.6709752676	0.7773616728	0.1063600105	0.2050942709	0.1670015818	0.1581215135	0.2757285036	0.225630584	2221.46	0.7472488717	313.639	118.767	131.225	25.4937	230.755	2423.28	222.411	337.881	105.022	101.358	24.0936	243.916	2548.17	251.631	334.101	104.028	100.363	23.9143	241.084	0	31.0	32.0	4.451613	-88.9632	-68.1633	1.1034483	344.4516	0.02360403	0.0	0.9677419	0.033333335	0.76666665	0.03448276	0.27586207	1.0	3.0	3.0	
0.9821428571	0.953125	0	0.4114812271	0.3619641298	0.36996337	0.6111111111	0.8181818182	0.6111111111	0.8506791819	0.7884457063	0.8644688645	0.1875	0.2109712732	0.0714285714	0.2146291209	0.2304856366	0.1565934066	1033.42	0.8656114907	1281.78	313.623	307.468	26.978	?	862.83	1127.26	1149.65	254.109	311.371	24.8085	?	858.45	961.661	1154.43	250.582	305.523	24.7361	?	0	18.0	19.0	4.5555553	-61.5187	-49.8314	1.0	127.72222	0.02358072	0.0	0.8888889	0.05882353	0.47058824	0.0625	0.0	0.9444444	0.0	0.0	
0.9772727273	0.9531899512	4	0.4442853162	0.3843560498	0.4016983017	0.7272727273	0.9666666667	0.619047619	0.860909489	0.6988068308	0.8758741259	0.0909090909	0.1669765969	0.0909090909	0.1891278591	0.2744953076	0.1223776224	5863.97	0.7598166059	398.215	105.992	109.779	23.1654	334.606	5341.33	304.842	342.226	108.351	106.974	20.6902	282.902	5137.64	284.121	338.315	107.122	105.191	20.4477	278.402	0	24.0	23.0	4.2083335	-62.165	-54.6574	1.3529412	408.54166	0.05360484	0.0	0.9583333	0.0	0.82608694	0.045454547	0.4090909	1.0	4.0	4.0	
0.8797834202	0.8770188367	2	0.3976935635	0.384110561	0.4383286627	0.8055555556	0.9534883721	0.7647058824	0.8137512012	0.706776643	0.8216513486	0.1072076979	0.1885776065	0.105817775	0.1565946086	0.2504213759	0.1816863613	10274.8	0.7723442037	116.264	58.7701	66.4711	30.5401	125.68	13849.3	119.228	115.445	63.1374	65.7368	31.8883	113.003	13883.8	115.499	117.344	62.4931	64.8231	31.6913	112.972	0	26.0	25.0	4.1153846	-60.4656	-49.1478	1.25	446.30768	0.022342334	0.0	1.0	0.0	0.92	0.041666668	0.375	1.0	2.0	2.0	
0.9836996337	0.9695699788	3	0.4171493549	0.3441318252	0.2490513104	0.9166666667	0.9677419355	0.619047619	0.8955453463	0.69775833	0.9264550265	0.1065050744	0.1037753019	0.0652014652	0.1629223485	0.1962941181	0.1095238095	115.12	0.7762449968	168.625	61.122	67.6855	27.8011	?	131.706	104.401	191.285	63.533	67.6294	23.4442	?	130.966	132.51	194.403	63.9047	67.8503	23.3683	?	0	22.0	20.0	4.0	-40.7206	-40.053	1.1111112	270.86365	0.016591074	0.0	1.0	0.0	1.0	0.0	0.55	1.0	3.0	3.0	
0.8736189572	0.9040543784	2	0.4646827668	0.4249665292	0.4097933646	0.8108108108	0.9583333333	0.7567567568	0.8247020971	0.652966249	0.8353099531	0.1246926574	0.2189035943	0.1184214234	0.1918889811	0.2755725001	0.1584007472	7431.4	0.7173749639	262.388	89.779	99.8833	47.7521	258.762	3537.48	203.317	235.324	91.7934	86.3206	43.1371	220.497	3516.46	193.478	232.434	91.0326	85.2973	42.8589	216.932	0	33.0	31.0	4.181818	-75.057	-68.3096	1.1923077	178.63637	0.03043023	0.0	0.969697	0.03125	0.78125	0.06451613	0.32258064	1.0	2.0	2.0	
