1-uppsala;2-uppsala;3-uppsala;4-uppsala;5-uppsala;6-uppsala;7-uppsala;8-uppsala;9-uppsala;10-uppsala;11-uppsala;12-uppsala;13-uppsala;14-uppsala;15-uppsala;16-uppsala;17-uppsala;18-uppsala;19-uppsala;20-uppsala;21-uppsala;22-uppsala;23-uppsala;24-uppsala;25-uppsala;26-uppsala;27-uppsala;28-uppsala;29-uppsala;30-uppsala;31-uppsala;32-uppsala;33-uppsala;34-uppsala;35-uppsala;36-uppsala;37-uppsala;38-uppsala;39-uppsala;40-uppsala;41-uppsala;42-uppsala;43-uppsala;44-uppsala;45-uppsala;46-uppsala;47-uppsala;48-uppsala;49-uppsala;50-uppsala;51-uppsala;52-uppsala;53-uppsala;54-uppsala;55-uppsala;56-uppsala;57-uppsala;58-uppsala;59-uppsala;60-uppsala;61-uppsala;62-uppsala;63-uppsala;64-uppsala;65-uppsala;66-uppsala;67-uppsala;68-uppsala;69-uppsala;70-uppsala;71-uppsala;72-uppsala;73-uppsala;74-uppsala;75-uppsala;76-uppsala;77-uppsala;78-uppsala;79-uppsala;80-uppsala;81-uppsala;82-uppsala
0;0;0;0;16;0.032759357;0;0;0.032759365;0;0;1.3076923;0;0;0;0;13;0.7692308;0;0;0.23076923;0;0.9230769;0;0;0;0;0;17;0.5882353;0;0;0.4117647;0;0.9411765;0;-30.3789;4.17927e-31;-2.33684;0.00460428;-24.861;1.37721e-25;-1.46241;0.0344817;0.928571;0.714286;0;0;0.214286;0.769231;0.307692;0.461538;0.153846;0;0.416667;0.5;0.166667;0.25;0;0.181818;0.727273;0.0909091;0;0.0909091;0;0;0;0.923077;0;0.0769231;0;0.117647;0.705882;0.176471;0;0;0;617.308;1967.89;43.3554;26.9804;2.07541
0;0;0;0;16;0.0039278828;1.3591276E-5;0;0.0023861215;1.3591276E-5;4.4936204E-4;1.1290323;0;0;0;0;31;0.5483871;0.032258064;0;0.32258064;0.032258064;0.83870965;0.06451613;0;0;0;0;35;0.4857143;0.028571429;0;0.37142858;0.028571429;0.7714286;0.08571429;-76.0249;9.44278e-77;-2.45242;0.00352845;-63.9863;1.03205e-64;-1.82818;0.0148532;0.96875;0.5625;0.09375;0.0625;0.25;0.870968;0.483871;0.290323;0.0967742;0.0967742;0.4;0.566667;0.166667;0.166667;0.0666667;0.172414;0.793103;0.0344828;0.0344828;0.103448;0;0;0;0.870968;0.0645161;0.0645161;0;0.0857143;0.771429;0.114286;0.0285714;0;0;1234.61;2179.93;55.995;65.0243;2.09756
0;0;0;0;4;0.0014062518;4.340285E-6;0;0.002100693;0.0012543405;7.3350675E-4;1.0666667;0;0;0;0;30;0.6;0.033333335;0;0.26666668;0.06666667;0.9;0.06666667;0;0;0;0;32;0.5625;0.03125;0;0.3125;0.03125;0.875;0.09375;-78.138;7.2778e-79;-2.6046;0.00248542;-69.3918;4.05695e-70;-2.16849;0.00678432;0.967742;0.354839;0.290323;0.129032;0.193548;0.833333;0.533333;0.233333;0.2;0;0.448276;0.655172;0.103448;0.137931;0.0689655;0.107143;0.857143;0.0357143;0;0.0714286;0;0;0;0.9;0.0666667;0.0333333;0;0.0625;0.84375;0.0625;0.03125;0;0;1173.07;2262.27;25.9234;60.9731;2.03244
0;0;0;0;4;0.005269688;0;0;0.0048482865;8.779142E-6;0;0.9259259;0;0;0;0;27;0.5925926;0;0;0.37037036;0.037037037;0.8888889;0;0;0;0;0;25;0.52;0;0;0.44;0.04;0.88;0;-68.2655;5.42625e-69;-2.52835;0.00296243;-52.6655;2.16023e-53;-2.10662;0.00782312;0.964286;0.392857;0.107143;0.214286;0.25;0.851852;0.407407;0.185185;0.148148;0.222222;0.538462;0.538462;0.115385;0.230769;0.0769231;0.16;0.8;0.08;0;0.08;0;0;0;0.851852;0.148148;0;0;0;0.92;0;0.08;0;0;1883.56;2098.45;33.5758;67.5879;2.50326
0;0;0;0;1;0.012520523;4.0647687E-6;0;0.013673909;1.0161922E-6;4.0647687E-6;1.032258;0;0;0;0;31;0.58064514;0.06451613;0;0.2580645;0.032258064;0.87096775;0.06451613;0;0;0;0;32;0.46875;0.0625;0;0.375;0.03125;0.90625;0.0625;-86.1139;7.69308e-87;-2.77787;0.00166776;-71.1057;7.83971e-72;-2.22205;0.00599718;0.96875;0.3125;0.3125;0.15625;0.1875;0.774194;0.387097;0.322581;0.16129;0.0967742;0.4;0.633333;0.166667;0.133333;0.0333333;0.0689655;0.896552;0;0.0689655;0;0;0;0;0.806452;0.16129;0.0322581;0;0.0625;0.78125;0.09375;0.0625;0;0;1712.81;2077.59;33.1955;74.3407;2.39809
0;0;0;0;1;0.0071902424;0;0;0.007694674;8.5496395E-6;0;1.0555556;0;0;0;0;18;0.6111111;0;0;0.33333334;0.055555556;1;0;0;0;0;0;19;0.5263158;0;0;0.42105263;0.05263158;1;0;-68.0269;9.3994e-69;-3.77927;0.000166237;-54.2489;5.63767e-55;-2.85521;0.00139571;0.894737;0.526316;0.105263;0.157895;0.157895;0.555556;0.833333;0;0.111111;0;0.235294;0.764706;0.176471;0;0;0.0625;0.875;0.0625;0;0;1;0.0555556;0;0.888889;0;0.0555556;0;0;0.842105;0.105263;0;0;0;983;1882.84;0.116665;30.9433;1.71907
0;0;0;0;1;0.011424209;0;0;0.009927669;3.281872E-6;2.9536848E-5;0.9583333;0;0;0;0;24;0.5416667;0;0;0.29166666;0.041666668;0.75;0.125;0;0;0;0;23;0.4347826;0;0;0.39130434;0.04347826;0.73913044;0.13043478;-59.561;2.74789e-60;-2.48171;0.00329831;-52.3272;4.7076e-53;-2.2751;0.00530768;0.96;0.4;0;0.2;0.36;0.916667;0.458333;0.25;0.0416667;0.208333;0.565217;0.478261;0.26087;0.173913;0.0434783;0.136364;0.818182;0.0454545;0.0909091;0;0;0;0;0.833333;0.166667;0;0;0.0434783;0.869565;0;0.0869565;0;0;1746.08;2068.46;24.5577;52.6236;2.19265
0;0;0;0;1;4.0000043E-4;0;0;2.863903E-4;2.3668567E-6;2.3668567E-6;0.96153843;0;0;0;0;26;0.5;0;0;0.42307693;0.03846154;0.84615386;0.03846154;0;0;0;0;25;0.48;0;0;0.44;0.04;0.8;0.04;-62.7589;1.74221e-63;-2.4138;0.00385653;-53.0501;8.91046e-54;-2.122;0.00755085;0.962963;0.296296;0.148148;0.185185;0.333333;0.846154;0.346154;0.230769;0.192308;0.192308;0.64;0.32;0.44;0.12;0.08;0.166667;0.791667;0.125;0;0.0416667;0;0;0.0769231;0.730769;0.115385;0.0769231;0;0.04;0.76;0.16;0.04;0;0;2162;2354.72;50.7905;74.2877;2.85722
0;0;0;0;4;2.0661118E-5;0;0;3.305779E-4;2.0661151E-5;8.2644605E-5;0.90909094;0;0;0;0;22;0.54545456;0;0;0.3181818;0.045454547;0.90909094;0.09090909;0;0;0;0;20;0.55;0;0;0.3;0.05;0.95;0.1;-42.1692;6.7733e-43;-1.91678;0.0121121;-42.0803;8.31189e-43;-2.10401;0.00787019;0.956522;0.347826;0.217391;0.130435;0.26087;0.954545;0.227273;0.318182;0.272727;0.136364;0.809524;0.285714;0.285714;0.190476;0.190476;0.5;0.45;0.1;0.35;0.05;0;0;0;0.818182;0.181818;0;0;0;0.9;0;0.1;0;0;1523.95;1994.51;137.444;48.0568;2.1844
0;0;0;0;4;0.0091769975;0;0;0.00994144;3.8221515E-6;3.8221515E-6;0.93939394;0;0;0;0;33;0.4848485;0;0;0.45454547;0.030303031;0.8787879;0.030303031;0;0;0;0;31;0.58064514;0;0;0.3548387;0.032258064;0.87096775;0.032258064;-77.4849;3.27416e-78;-2.34803;0.00448717;-71.7129;1.93687e-72;-2.31332;0.0048605;0.970588;0.294118;0.264706;0.264706;0.147059;0.939394;0.272727;0.30303;0.242424;0.151515;0.5625;0.46875;0.28125;0.09375;0.125;0.129032;0.83871;0.0322581;0.0645161;0.0322581;0;0;0;0.727273;0.242424;0.030303;0;0.0322581;0.774194;0.0645161;0.129032;0;0;1426.85;2203.66;29.6666;77.8602;2.3594
