1-wlv-shef	2-wlv-shef	3-wlv-shef	4-wlv-shef	5-wlv-shef	6-wlv-shef	7-wlv-shef	8-wlv-shef	9-wlv-shef	10-wlv-shef	11-wlv-shef	12-wlv-shef	13-wlv-shef	14-wlv-shef	15-wlv-shef	16-wlv-shef	17-wlv-shef	18-wlv-shef	19-wlv-shef	20-wlv-shef	21-wlv-shef	22-wlv-shef	23-wlv-shef	24-wlv-shef	25-wlv-shef	26-wlv-shef	27-wlv-shef	28-wlv-shef	29-wlv-shef	30-wlv-shef	31-wlv-shef	32-wlv-shef	33-wlv-shef	34-wlv-shef	35-wlv-shef	36-wlv-shef	37-wlv-shef	38-wlv-shef	39-wlv-shef	40-wlv-shef	41-wlv-shef	42-wlv-shef	43-wlv-shef	44-wlv-shef	45-wlv-shef	46-wlv-shef	47-wlv-shef	48-wlv-shef	49-wlv-shef	50-wlv-shef	51-wlv-shef	52-wlv-shef	53-wlv-shef	54-wlv-shef	55-wlv-shef	56-wlv-shef	57-wlv-shef	58-wlv-shef	59-wlv-shef	60-wlv-shef	61-wlv-shef	62-wlv-shef	63-wlv-shef	64-wlv-shef	65-wlv-shef	66-wlv-shef	67-wlv-shef	68-wlv-shef	69-wlv-shef	70-wlv-shef	71-wlv-shef	72-wlv-shef	73-wlv-shef	74-wlv-shef	75-wlv-shef	76-wlv-shef	77-wlv-shef	78-wlv-shef	79-wlv-shef	80-wlv-shef	81-wlv-shef	82-wlv-shef	83-wlv-shef	84-wlv-shef	85-wlv-shef	86-wlv-shef	87-wlv-shef	88-wlv-shef	89-wlv-shef	90-wlv-shef	91-wlv-shef	92-wlv-shef	93-wlv-shef	94-wlv-shef	95-wlv-shef	96-wlv-shef	97-wlv-shef	98-wlv-shef	99-wlv-shef	100-wlv-shef	101-wlv-shef	102-wlv-shef	103-wlv-shef	104-wlv-shef	105-wlv-shef	106-wlv-shef	107-wlv-shef	108-wlv-shef	109-wlv-shef	110-wlv-shef	111-wlv-shef	112-wlv-shef	113-wlv-shef	114-wlv-shef	115-wlv-shef	116-wlv-shef	117-wlv-shef	118-wlv-shef	119-wlv-shef	120-wlv-shef	121-wlv-shef	122-wlv-shef	123-wlv-shef	124-wlv-shef	125-wlv-shef	126-wlv-shef	127-wlv-shef	128-wlv-shef	129-wlv-shef	130-wlv-shef	131-wlv-shef	132-wlv-shef	133-wlv-shef	134-wlv-shef	135-wlv-shef	136-wlv-shef	137-wlv-shef	138-wlv-shef	139-wlv-shef	140-wlv-shef	141-wlv-shef	142-wlv-shef	143-wlv-shef	144-wlv-shef	145-wlv-shef	146-wlv-shef	147-wlv-shef
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30769232	0	0	1.4529914	1.8307693	0	0	1.3076924	0.7647059	5.4615383	347.76923	-346113184	0.019463036	216.53847	75833520	0.0076341927	148.07692	280199040	0.004719417	76.46154	154894864	0.0024149236	6.8461537	16912936	0.0003599629	584879.56	0.5	0	0	0.083333336	0.8333333	10	0.7692307692	0	4	4	3	0.2307692308	-33.1599	0.53846157	3	0	0	2	1	3	0	13	12	1	7927.69	17931.4	5	7	0	0	0	0.09090909	0.09090909	0	0	0.27272728	1	0	0	0	1	0.15384616	2	0	0	0	-1	0	0	-1	0	0	1	2	-2	-1	1.3076923	9	0.5294117647	0.47058824	0	0	4	4	1	8	0.4705882353	3.8805702	0.93865734	0.9786022	-32.8572	0	0.29411766	2	0	0	1	1	1	3	0	17	16	-10.1696	-17.0124	10.3983	8.81323	2	95.3142	124.617	0	0	7	5	0	0	1	1	0	0.9411765	1.0625	126.80076	0	0.11764706	1	0	0
0	0	1	1	0	0	0	0	0	0.028571429	0	0	0	0	0.12903225	0	0	1.1954459	1.3548386	0	0.9032257	0.84677416	0.8857143	4.290323	820.74194	-203588048	0.01928245	542.6129	218468128	0.009744703	400.51614	356524384	0.0071199783	228.54839	206556768	0.004041333	12.129032	18338154	0.0009201621	643157.7	0.55172414	0.033333335	0	0.06666667	0.8	20	0.7142857143	0	4	12	8	0.2857142857	-71.5909	0.38709676	6	2	0	3	1	7	0.032258064	31	25	2	1247.31	1624.2	5	19	3	3	0.12903225	0.20689656	0.06896552	0	0	0.3448276	1	0	0	0	1	0.09677419	3	0	1	-1	-2	0	0	-2	0	1	3	1	-4	-2	1.1290323	19	0.59375	0.375	0	0	5	11	1	13	0.40625	4.5	0.7117024	0.91972077	-64.2627	0	0.2857143	4	2	0	1	1	1	8	0.028571429	36	27	-26.22	-31.0379	9.35646	7.28056	5	105.44	120.45	0	0	6	15	4	4	1	1	0.14285715	0.75	1.3461539	37.75884	0	0.114285715	1	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06666667	0	0	1.1428572	1.0666667	0	1.0666667	1.0666667	0.9375	5.3333335	796.06665	93836112	0.034808017	527.7	208495936	0.018618917	394.56668	260188608	0.013906779	227.66667	148212688	0.007581582	12.033334	10188729	0.0009524312	391977.94	0.82758623	0.03448276	0.06896552	0.03448276	0.6896552	18	0.6666666667	1	5	3	9	0.3333333333	-72.0265	0.26666668	0	0	0	0	0	9	0	30	27	1	210.589	251.701	4	21	3	3	0.13333334	0.35714287	0.035714287	0	0.071428575	0.25	1	0	0	0.06666667	0.93333334	0.1	3	0	-1	5	0	0	0	0	0	0	2	2	-1	-2	1.0666667	17	0.5862068966	0.4375	0	1	4	8	1	12	0.4137931034	4.9497476	0.8655001	0.961471	-69.2512	0	0.25	0	0	0	0	0	1	9	0	32	28	-34.4321	-25.5084	15.3927	5.92899	3	125.464	145.915	0	0	6	20	4	3	0	0	0.125	0.875	1.1428572	83.15338	1	0.09375	1	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.074074075	0	0	0.92592597	0.9259259	0	0.92592597	1.388889	1.08	4.0740743	1397.5927	66909628	0.038118046	962.62964	554883580	0.022158911	726.6667	402087360	0.01482172	423.1111	236803280	0.008359581	17.25926	21074416	0.0014070639	734193.94	0.8076923	0	0.07692308	0.03846154	0.8076923	15	0.5769230769	0	5	3	11	0.4230769231	-63.1549	0.25925925	3	1	0	1	1	6	0	27	23	1	156.382	191.405	4	14	0	1	0.037037037	0.4	0.08	0.04	0	0.36	1	0	0	0	0.962963	0.11111111	2	2	0	0	-1	-1	1	-1	0	0	3	2	-4	0	0.9259259	13	0.5416666667	0.44	0	2	5	3	0	11	0.4583333333	4.4	0.8705541	0.9602863	-48.2981	0	0.28	2	0	1	0	1	0	6	0	25	22	-26.0972	-19.1194	15.3546	5.43701	4	88.554	105.949	0	0	6	10	0	1	0	0	0.04	0.88	1.1363636	74.74217	0	0.08	2	2	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032258064	0	0	1.032258	1.032258	0	1.032258	1.032258	0.96875	4.451613	1168.7742	-12893487	0.02360403	765.3871	354072928	0.0140233105	577.3226	264993088	0.0101971235	344.4516	166043136	0.0065993224	15.806452	15050850	0.0019805983	478329.84	0.7241379	0.033333335	0	0	0.76666665	16	0.5714285714	3	9	8	12	0.4285714286	-88.9632	0.22580644	1	1	0	0	0	8	0.06451613	31	26	0	702.349	867.715	5	20	3	3	0.16129032	0.37931034	0.03448276	0	0.06896552	0.27586207	1	0	0	0.032258064	0.9677419	0.09677419	3	-1	-2	0	0	0	0	0	0	-1	4	1	-2	-1	1.032258	16	0.5517241379	0.453125	0	2	7	8	0	13	0.4482758621	5.1265244	0.90097314	0.9715962	-68.1633	0	0.21875	1	1	0	0	0	0	7	0.0625	32	29	-49.7846	-30.8843	40.3604	8.62753	4	114.515	132.801	0	0	6	18	3	3	0	0	0.15625	0.90625	1.1034483	115.18359	0	0.09375	2	2	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.055555556	0	0	1.1515152	1.4074075	0	1.0555556	0.70370376	0.94736844	4.5555553	645.6111	229329488	0.02358072	381.8889	291562944	0.028977092	260.72223	206568768	0.02215553	127.72222	115471896	0.01572726	9.777778	11321957	0.004893336	477135.12	0.3529412	0.05882353	0.05882353	0	0.47058824	12	0.7058823529	1	3	6	5	0.2941176471	-61.5187	0.44444445	2	0	2	0	0	4	0	18	18	0	2118.13	3529.25	4	10	0	1	0.055555556	0.125	0.0625	0.0625	0	0	0.9444444	0	0	0.11111111	0.8888889	0.11111111	2	-1	0	0	0	0	-1	0	1	0	1	1	-2	-1	1.0555556	12	0.6666666667	0.5	0	0	3	6	0	6	0.3333333333	4.3588986	0	1	-49.8314	0	0.31578946	2	0	1	0	1	0	4	0	19	19	-12.7485	-17.4795	9.56437	7.48127	1	395.265	541.46	0	0	5	8	0	1	0	0	0.05263158	1	1	0	0	0.15789473	1	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.041666668	0	0	0.9583333	1.5972222	0	0.9583334	0.6388889	1.0434783	4.2083335	1221.9584	-99726080	0.05360484	839.375	631088700	0.023676364	654.75	469453344	0.016317334	408.54166	293986784	0.012135678	19.375	27630984	0.0018472354	872349	0.82608694	0	0	0	0.82608694	12	0.6	1	9	3	8	0.4	-62.165	0.20833333	1	0	0	0	1	5	0	24	18	0	129.675	160.222	4	15	4	4	0.16666667	0.54545456	0.045454547	0.045454547	0	0.4090909	1	0	0	0	0.9583333	0.083333336	2	-1	-5	4	0	0	1	0	-1	0	2	2	0	0	0.9583333	10	0.5263157895	0.36956522	1	0	4	7	2	9	0.4736842105	3.544745	0.6905799	0.90359384	-54.6574	0	0.13043478	1	0	1	0	0	2	5	0	23	17	-32.6521	-20.7747	26.2819	7.33859	2	116.997	143.911	0	0	6	15	4	4	2	1	0.17391305	0.73913044	1.3529412	26.555098	0	0.13043478	2	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03846154	0	0	1.25	0.9615385	0	0.9615385	1.2019231	1.04	4.1153846	1616.3077	-369778368	0.022342334	1082.4615	402054368	0.011203165	795.0769	526251584	0.007241318	446.30768	294893088	0.0035575072	17.076923	20951200	0.0003967663	761735.4	0.88	0	0	0	0.92	14	0.5833333333	2	4	13	10	0.4166666667	-60.4656	0.15384616	1	0	0	1	0	5	0	26	22	2	307.118	382.799	5	19	2	2	0.07692308	0.6666667	0.041666668	0.083333336	0.16666667	0.375	1	0	0	0	1	0.1923077	3	-2	1	-5	-1	0	0	-1	0	0	0	1	-4	0	0.96153843	12	0.5217391304	0.4	1	0	5	8	0	11	0.4782608696	4	0.77288556	0.9306766	-49.1478	0	0.16	0	0	0	0	0	0	5	0	25	20	-26.9764	-26.0719	13.3051	12.1991	2	77.6786	92.4513	0	0	6	15	2	2	0	0	0.08	0.8	1.25	40.21811	0	0.16	3	3	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09090909	0	0	1.0101011	1.1363636	0	0.9090909	0.90909094	1.1	4	982.36365	-175444576	0.016591074	607.0455	500165536	0.01112541	450.68182	364361568	0.0075623603	270.86365	228734912	0.004557271	15.909091	24774274	0.0005124527	799276.56	0.7619048	0	0	0.04761905	1	11	0.5789473684	2	6	4	8	0.4210526316	-40.7206	0.22727273	3	2	0	0	1	6	0	22	19	0	113.776	144.163	3	16	3	3	0.13636364	0.5	0	0.1	0	0.55	1	0	0	0	1	0.18181819	3	-2	-1	1	0	-1	1	0	0	-1	2	2	-3	0	0.90909094	10	0.5882352941	0.45	0	0	5	5	2	7	0.4117647059	4.0249224	0.8929883	0.9648298	-40.053	0	0.2	3	1	1	0	1	2	5	0	20	18	-20.3985	-15.8406	15.8457	5.67954	2	118.412	150.337	0	0	5	13	3	3	2	1	0.15	0.9	1.1111112	79.29203	0	0.2	3	1	0.3333333333
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.060606062	0	0	0.8841355	0.82196975	0	0.939394	0.939394	1.0645162	4.181818	883.69696	107923608	0.03043023	525.9394	264089296	0.016439162	356.9394	274400384	0.013181231	178.63637	149088496	0.007891364	12.272727	13365376	0.0002265277	515474.3	0.9375	0.03125	0	0.125	0.78125	16	0.5333333333	5	9	7	14	0.4666666667	-75.057	0.21212122	0	0	0	0	0	9	0	33	28	1	161.272	188.128	3	26	2	2	0.060606062	0.516129	0.06451613	0.032258064	0.09677419	0.32258064	1	0	0	0.030303031	0.969697	0.21212122	6	-3	4	-1	0	0	0	0	0	-2	3	3	-7	-2	0.93939394	17	0.5862068966	0.41935483	0	2	13	6	0	12	0.4137931034	4.669738	0.8225101	0.94877946	-68.3096	0	0.2580645	0	0	0	0	0	0	7	0	31	26	-45.2782	-31.7755	28.8794	9.83973	4	136.357	159.785	0	0	6	19	2	2	0	0	0.06451613	0.83870965	1.1923077	60.35109	0	0.22580644	4	4	1
